player,att,yds,ypc,explosive,sr_pct,epa,epa_per_att
J. Gibbs,16,52,3.2,2,31,-2.5,-0.16
J. Goff,3,7,2.3,0,0,-2.2,-0.72
S. Vaki,1,7,7.0,0,100,+0.5,+0.51
TEAM,20,66,3.3,2,30,-4.2,-0.21
