player,snaps,targets,receptions,yards,success_rate_pct
George Pickens,49,6,3,28,33
CeeDee Lamb,47,8,5,44,62
Ryan Flournoy,41,4,2,22,25
Jonathan Mingo,11,1,1,10,100
KaVontae Turpin,8,1,1,8,100
