cornerback,rts_def,rts_def_rank_of_279,left_pct,left_pct_rank,right_pct,right_pct_rank,man_pct,man_pct_rank,zone_pct,zone_pct_rank
Jaylen Watson,34,16th,80.8,14th,19.2,51st,14.7,84th,85.3,7th
Trent McDuffie,34,16th,19.2,53rd,80.8,13th,14.7,84th,85.3,7th
