defender,role,slot_targets,slot_targets_rank,routes_defended,routes_rank,fp_rr_allowed,fp_rr_rank,target_rate_pct,target_rate_rank,note
Dee Alford,Slot,38,9th,332,64th,0.20 slot,25th,17.6,14th,1.6 YPRR allowed (21st); 67.6% catch rate allowed (46th); 102.0 passer rating allowed (67th)
Christian Benford,Perimeter,, ,405,44th,0.35 perim,4th,23.8,1st,3 slot routes out of 405 in 2025; 77 targets allowed (15th)
