player,tgt,rec,yds,yprec,adot,explosive,sr_pct,epa,epa_per_tgt
D. Kincaid,8,7,95,13.6,10.5,2,75,+7.2,+0.90
K. Shakir,6,3,38,12.7,12.2,0,50,+0.5,+0.09
K. Coleman,6,6,63,10.5,8.0,1,83,+5.9,+0.98
J. Palmer,3,1,43,43.0,13.0,1,33,+4.8,+1.61
J. Cook,3,1,4,4.0,0.3,0,0,-1.2,-0.39
D. Knox,2,2,5,2.5,1.5,0,100,+1.8,+0.88
TEAM,28,20,248,12.4,8.9,4,61,+19.0,+0.68
