shell,rts,tgt_sh_pct,tgt_sh_rank,first_read_pct,first_read_rank,tprr_pct,tprr_rank,yprr,fp_per_rr,fp_per_rr_rank
man,129,16.79,80th,17.0,80th,17.05,131st,0.66,0.1,181st
zone,305,15.65,63rd,21.18,51st,16.07,132nd,1.14,0.22,149th
