rank,player,team,epa_per_dropback
1,T. Lawrence,JAX,+0.79
2,J. Dart,NYG,+0.71
3,J. Allen,BUF,+0.45
4,C. Williams,CHI,+0.45
5,G. Smith,NYJ,+0.41
6,L. Jackson,BAL,+0.38
7,D. Prescott,DAL,+0.31
8,D. Lock,SEA,+0.28
9,B. Young,CAR,+0.27
10,J. Brissett,ARI,+0.24
