team,stuff_rate_pct,four_plus_rate_pct,note
NFL_AVG,18.0,49.4,league averages as drawn on chart
CAR,13.5,66.0,approx
DEN,12.0,63.0,approx
SF,7.5,60.5,approx
NYG,6.0,50.0,approx
NE,27.5,32.0,approx
MIA,32.5,38.5,approx
PHI,34.5,35.0,approx
