posteam,epa
ARI,1.31733980588615
ARI,-1.69435995956883
NO,-0.788526989053935
NO,-1.5457959654741
ARI,0.0410655138548464
ARI,1.13354981667362
ARI,-0.883086086716503
ARI,-0.653991645202041
ARI,1.11316926509608
ARI,-0.650759270298295
ARI,-1.06060263332055
NO,0.676772792590782
NO,1.35763366660103
NO,1.37107296788599
NO,0.413750811829232
ARI,0.277391066774726
ARI,3.19205127726309
ARI,0.811590152967256
NO,0.428171747596934
NO,1.66713239485398
NO,0.0705173650057986
NO,-0.634808838018216
NO,-0.784221821358545
ARI,-0.545378534588963
ARI,-0.641429355135188
ARI,1.71159395028371
ARI,-0.726267843623646
ARI,0.204198515159078
ARI,2.7876767354901
ARI,0.113319557916839
ARI,1.73689978290349
NO,-0.467498532496393
NO,1.72851702012122
NO,-0.552658809814602
NO,-2.22711409721524
ARI,-0.976449432782829
ARI,-0.481221009511501
ARI,-1.19179980085572
NO,-0.611671449616551
NO,1.30233187670819
NO,-0.864051666343585
NO,2.00058249291033
NO,0.1961903963238
NO,0.316044752020389
NO,0.529198575299233
NO,-0.476942761684768
NO,-1.63018556499213
ARI,0.436071529518813
ARI,-0.399437570944428
ARI,-0.137924609472975
ARI,-2.30962214921601
NO,-0.862666754983366
NO,-0.77358090877533
ARI,-0.58583790063858
ARI,2.43101427145302
ARI,1.34625990921631
ARI,0.580921839922667
ARI,-0.538074251497164
ARI,-1.36841536825523
NO,-0.591157480143011
NO,-0.733889488503337
NO,-0.85258786031045
ARI,0.0669216739479452
NO,-0.0009311832254752
NO,1.64124377694679
NO,0.0763847201014869
NO,1.09987462480785
NO,1.60753650165861
NO,-0.375507092132466
NO,-1.54751839785604
ARI,-0.588609133847058
ARI,-1.71179389348254
NO,-0.350902512669563
NO,0.539652759674937
NO,0.487767698534299
NO,0.11139434116194
NO,0.342609660932794
NO,-0.298471168905962
NO,-0.0750632589915767
NO,0.613979716901667
NO,-0.309188873507082
NO,-0.14417833063635
NO,-2.52523829400889
BUF,0.444104690803215
BUF,-0.77546699414961
BUF,-0.803599213017151
BUF,2.55858492432162
BAL,1.12778808991425
BAL,0.180611261865124
BAL,0.870773859205656
BAL,-0.46965415996965
BAL,-2.43666753579226
BAL,1.34645359427668
BAL,-0.018798332195729
BUF,-0.526102853473276
BUF,-0.175885770469904
BUF,-1.34811847936362
BAL,0.160719281528145
BUF,-0.428846204420552
BUF,-0.673388468567282
BUF,2.21301404538099
BUF,0.730033903208096
BUF,0.930889342620503
BUF,-0.43809202068951
BUF,-0.750690877854038
BAL,-0.640881297178567
BAL,1.74048866285011
BAL,-0.963631074759178
BUF,0.439562176004984
BUF,1.87177222884484
BAL,-0.829515700694174
BAL,4.15062094805762
BAL,2.53654670808464
BUF,0.97412234172225
BUF,-0.519674198236316
BUF,-0.728683637804352
BUF,-0.993824201752432
BUF,-0.947
BAL,-1.32184230629355
BUF,-0.599654919467866
BUF,2.03469824767672
BUF,-0.758911747951061
BUF,-1.40674399305135
BAL,2.37592502718326
BAL,3.42234689358156
BUF,0.969870067667216
BUF,0.965470848372206
BUF,-0.137028499972075
BUF,-0.876052687177435
BUF,4.99526702566072
BUF,1.0540653692442
BUF,-0.947
BAL,-0.540441926568747
BAL,-0.745875502470881
BAL,2.56259736977518
BUF,2.81580700917402
BUF,-0.947
BAL,-0.787039116723463
BUF,-0.176968950545415
BUF,0.218334201723337
BUF,0.211239001655485
BUF,2.21934129687725
BUF,1.89729207661003
JAX,-0.581190198659897
JAX,1.0059780664742
JAX,-0.689448206219822
JAX,0.108724225778133
JAX,2.80319940682966
JAX,1.49726479599485
JAX,-1.74242209229851
JAX,0.180017056991346
JAX,-0.718777980382829
CAR,0.84095619362779
CAR,-0.204661138122901
CAR,-0.51989818434231
CAR,-0.597756280330941
CAR,2.05217354232445
CAR,-1.33192109743902
JAX,-0.214103571604937
JAX,-1.81654012715444
CAR,-4.88541538594291
JAX,-0.635442845756188
JAX,0.784443990560249
JAX,0.021587215072941
JAX,1.96532061474863
CAR,-0.2804553238675
CAR,1.7081383834593
CAR,-0.455746935447678
CAR,-1.05901575717144
CAR,2.87158815137809
CAR,-0.86484057031339
CAR,-1.54052851826418
CAR,1.31726148823509
CAR,-0.296090986696072
CAR,-0.323375052015763
CAR,-2.66089541168185
JAX,-0.04434908577241
JAX,0.353736179298721
JAX,0.181365078140516
JAX,1.70519487544447
CAR,1.0179665342439
CAR,0.82581154583022
CAR,-3.97082730080001
JAX,-0.743088219314814
JAX,-1.30328115960583
CAR,1.25211119628511
CAR,-3.27717106882483
JAX,-0.593538894318044
JAX,-0.75027135387063
JAX,2.56907233735546
JAX,-2.89780439552851
CAR,-0.573233979288489
CAR,0.233260748093016
CAR,-1.11651510244701
CAR,-3.0467792940326
CIN,0.776237297570333
CIN,-0.532496605534107
CIN,1.88227673072834
CIN,0.560637193382718
CIN,0.375187210098375
CLE,0.650203597731888
CLE,0.0423980581108481
CLE,0.197369860950857
CLE,0.0248933280818164
CLE,-0.0232656452571973
CLE,1.70352822600398
CIN,-0.684135530842468
CIN,2.2574382268358
CIN,-0.524189731338993
CIN,-0.799021780723706
CIN,-1.47637606435455
CLE,-0.640808525960892
CLE,-1.13568249484524
CIN,1.72493002808187
CIN,0.81073458341416
CIN,-0.413287029397907
CIN,1.43238298530923
CLE,-0.444567410508171
CLE,1.42956792819314
CLE,1.47450463840505
CLE,-0.368249986961018
CLE,0.779755703522824
CLE,-0.173988792928867
CLE,-0.84475039808129
CIN,0.0210902495891787
CIN,-0.168309470609529
CLE,0.373073673807085
CLE,2.01337486179546
CLE,0.138930629938841
CLE,-0.835054843686521
CLE,2.22293309785891
CLE,1.48123264347669
CLE,0.615774315607268
CLE,-0.462078748445492
CLE,-0.0087211967911571
CLE,1.0553555568913
CIN,0.14671295741573
CIN,-1.65443697571754
CLE,-1.53287710831501
CLE,-3.39092601335142
CIN,-0.695102339494042
CIN,1.91028950491454
CIN,-0.715360393864103
CIN,-1.30673276146707
CLE,-0.540348447859287
CLE,2.39117261115462
CLE,-0.283264180179685
CLE,-1.81417578924447
CLE,-2.23253148188815
CIN,-1.13660716358572
CIN,-1.28649039100856
CLE,0.599803344812244
CLE,1.17947078985162
CLE,-1.00657335366122
CLE,-0.112106389831752
CLE,-1.59545462112874
CIN,-1.31515537714586
CIN,-0.796748163877055
CIN,-1.07214803225361
CLE,-0.649058436625637
CLE,1.73726096667815
CLE,-0.390311173396185
CLE,1.42509955441346
CLE,-0.820479398884345
CLE,-0.818566863769139
