player,team,down_split,n,ypc,epa_rush,success
J.Cook,BUF,early,276,5.452898550724638,0.05038731166670288,0.4673913043478261
J.Cook,BUF,late,13,4.769230769230769,-0.2792405598950893,0.46153846153846156
J.Gibbs,DET,early,207,5.0144927536231885,-0.019533742050070465,0.37681159420289856
J.Gibbs,DET,late,24,3.125,-0.21476962745450953,0.5
D.Montgomery,DET,early,116,4.862068965517241,0.02046945776137041,0.4396551724137931
D.Montgomery,DET,late,17,2.9411764705882355,-0.11384506085168553,0.47058823529411764
