player,team,season,sacks,qb_hits_credited,solo,assists,tackles,n_games
T.Bernard,BUF,2026,0,0,5,6,11,1
D.Williams,BUF,2026,0,0,3,5,8,1
C.Gardner-Johnson,BUF,2026,0,0,6,2,8,1
C.Bishop,BUF,2026,0,0,2,5,7,1
D.Walker,BUF,2026,1,1,3,3,6,1
C.Benford,BUF,2026,0,0,3,2,5,1
E.Oliver,BUF,2026,0,1,2,3,5,1
G.Rousseau,BUF,2026,2,5,4,0,4,1
B.Chubb,BUF,2026,0,2,0,4,4,1
M.Hairston,BUF,2026,0,0,2,1,3,1
G.Gaines,BUF,2026,0,0,1,1,2,1
K.Elarms-Orr,BUF,2026,0,0,0,2,2,1
D.Carter,BUF,2026,0,0,1,1,2,1
M.Hoecht,BUF,2026,0,0,1,1,2,1
D.Hamlin,BUF,2026,0,0,0,2,2,1
D.Alford,BUF,2026,0,0,0,2,2,1
J.Solomon,BUF,2026,0,0,0,1,1,1
L.Jackson,BUF,2026,0,0,1,0,1,1
T.Parker,BUF,2026,0,0,0,1,1,1
D.Igbinosun,BUF,2026,0,0,1,0,1,1
D.Reed,DET,2026,0,0,7,3,10,1
A.Maddox,DET,2026,0,0,4,3,7,1
J.Campbell,DET,2026,0,0,5,2,7,1
R.Ya-Sin,DET,2026,0,0,7,0,7,1
D.Barnes,DET,2026,1,1,3,2,5,1
A.Hutchinson,DET,2026,2,4,4,1,5,1
R.McCreary,DET,2026,1,1,4,0,4,1
M.Rodriguez,DET,2026,0,1,2,2,4,1
T.Harper,DET,2026,0,0,3,0,3,1
C.Clark,DET,2026,0,1,2,1,3,1
D.Wonnum,DET,2026,0,0,1,2,3,1
T.Williams,DET,2026,0,0,1,2,3,1
S.Gill-Howard,DET,2026,0,0,1,2,3,1
D.White,DET,2026,0,0,1,2,3,1
K.Abney,DET,2026,0,0,2,0,2,1
T.Welch,DET,2026,0,0,1,0,1,1
A.McNeill,DET,2026,1,1,1,0,1,1
N.Fant,DET,2026,0,0,1,0,1,1
E.O'Neill,DET,2026,0,0,0,1,1,1
T.Lacy,DET,2026,0,0,0,1,1,1
