player,team,season,g,pass_yds,pass_att,pass_att_incl_sack,sacks_taken,pass_td,ints,scrambles,rush_att,rush_yds,rush_td,targets,rec,rec_yds,rec_td,air_yds,rz_pass_att,rz_pass_td,rz_rush_att,rz_rush_td,rz_targets,rz_rec_td
J.Allen,BUF,2025,16,3350.0,428,464,36,22,10,0,89,543.0,14,0,0,0.0,0,0.0,72,15,27,13,0,0
J.Goff,DET,2025,17,4172.0,521,554,33,29,8,0,11,53.0,0,0,0,0.0,0,0.0,86,20,1,0,0,0
J.Cook,BUF,2025,17,0.0,0,0,0,0,0,0,289,1567.0,12,37,30,274.0,2,45.0,0,0,53,7,3,1
J.Gibbs,DET,2025,17,0.0,0,0,0,0,0,0,231,1113.0,11,86,70,565.0,5,39.0,0,0,46,8,14,5
D.Montgomery,DET,2025,17,3.0,2,3,1,1,0,0,134,616.0,6,28,24,192.0,0,9.0,2,1,29,5,2,0
A.St. Brown,DET,2025,17,0.0,0,0,0,0,0,0,3,9.0,0,156,106,1293.0,8,1287.0,0,0,1,0,30,7
J.Williams,DET,2025,17,0.0,0,0,0,0,0,0,5,15.0,0,90,59,996.0,7,1134.0,0,0,1,0,7,1
K.Shakir,BUF,2025,16,0.0,0,0,0,0,0,0,1,5.0,0,90,67,644.0,4,299.0,0,0,0,0,15,2
D.Kincaid,BUF,2025,12,0.0,0,0,0,0,0,0,0,0.0,0,48,37,548.0,5,462.0,0,0,0,0,9,3
S.LaPorta,DET,2025,9,0.0,0,0,0,0,0,0,0,0.0,0,41,35,445.0,3,244.0,0,0,0,0,5,2
