rank,player,epa_per_target
1,D.Wicks,1.481
2,I.Likely,1.379
3,M.Evans,1.292
4,L.McConkey,1.193
5,J.Smith-Njigba,1.162
25,N.Collins,0.491
,,,"PARTIAL: chart ranks 1-25; only top-5 and 25th were captured"
