rank,team,snap_weighted_age
1,MIA,25.70
2,DET,25.81
3,LV,25.99
4,GB,26.02
5,CLE,26.06
6,DEN,26.21
7,TEN,26.31
8,NYJ,26.38
9,NE,26.51
10,HOU,26.59
11,NO,26.61
12,DAL,26.63
13,LAC,26.63
14,JAX,26.66
15,CAR,26.68
16,NYG,26.72
17,ATL,26.73
18,LAR,26.81
19,CIN,26.83
20,SF,26.92
21,IND,26.93
22,PHI,27.03
23,TB,27.22
24,BAL,27.33
25,ARI,27.43
26,BUF,27.51
27,SEA,27.52
28,PIT,27.58
29,KC,29.26
30,MIN,29.40
31,CHI,29.41
32,WAS,29.45
