team,season,pass_off_epa,pass_off_success,rush_off_epa,rush_off_success,pass_def_epa,pass_def_success_allowed,rush_def_epa,rush_def_success_allowed,stuff_rate,stuff_rate_allowed,int_worthy_throw_rate,n_plays,pass_off_epa_pct,rush_off_epa_pct,pass_off_success_pct,rush_off_success_pct,pass_def_epa_pct,rush_def_epa_pct,pass_def_success_allowed_pct,rush_def_success_allowed_pct,stuff_rate_pct,stuff_rate_allowed_pct,int_worthy_throw_rate_pct
ARI,2025,0.01905,0.44844,-0.12965,0.37884,-0.14231,0.50984,0.01667,0.43467,0.21502,0.17333,0.01875,933,32.25806,9.67742,38.70968,16.12903,22.58065,35.48387,96.77419,61.29032,83.87097,35.48387,6.45161
ATL,2025,0.03970,0.46422,-0.03977,0.42289,0.02731,0.44174,0.02474,0.43342,0.16418,0.15666,0.02569,947,48.38710,54.83871,61.29032,54.83871,64.51613,38.70968,29.03226,58.06452,41.93548,19.35484,38.70968
BAL,2025,0.05828,0.48107,0.05547,0.42750,-0.11137,0.46088,0.05471,0.42138,0.15750,0.17296,0.02004,849,61.29032,90.32258,74.19355,61.29032,32.25806,58.06452,54.83871,45.16129,29.03226,32.25806,12.90323
BUF,2025,0.17357,0.48794,0.07844,0.48449,0.10757,0.41841,-0.06394,0.43536,0.12411,0.18470,0.03340,958,83.87097,100.00000,83.87097,93.54839,93.54839,6.45161,16.12903,64.51613,3.22581,58.06452,87.09677
CAR,2025,-0.08673,0.42471,-0.05163,0.42216,-0.12511,0.47467,-0.00703,0.40741,0.14512,0.13757,0.02317,897,16.12903,45.16129,16.12903,48.38710,25.80645,19.35484,64.51613,32.25806,19.35484,6.45161,25.80645
CHI,2025,0.12346,0.45305,0.05452,0.49282,-0.04979,0.47710,0.03087,0.44059,0.14115,0.14851,0.02965,1025,74.19355,87.09677,48.38710,96.77419,51.61290,45.16129,67.74194,74.19355,16.12903,12.90323,64.51613
CIN,2025,-0.03946,0.44942,0.07149,0.47302,-0.17980,0.50826,-0.08048,0.45528,0.10159,0.11382,0.02819,918,22.58065,93.54839,41.93548,90.32258,12.90323,3.22581,90.32258,83.87097,0.00000,0.00000,51.61290
CLE,2025,-0.22450,0.34340,-0.09647,0.34195,0.11071,0.42105,0.02760,0.40000,0.22701,0.19737,0.03962,878,0.00000,19.35484,0.00000,3.22581,96.77419,41.93548,19.35484,25.80645,93.54839,80.64516,96.77419
DAL,2025,0.20904,0.48671,0.01833,0.44855,-0.25169,0.50967,-0.06018,0.46398,0.13984,0.17867,0.02159,981,90.32258,77.41935,80.64516,80.64516,3.22581,9.67742,93.54839,90.32258,12.90323,48.38710,19.35484
DEN,2025,0.10469,0.45124,-0.05232,0.43059,0.07338,0.37323,0.09196,0.36842,0.18980,0.21053,0.03140,958,67.74194,41.93548,45.16129,70.96774,80.64516,80.64516,0.00000,6.45161,64.51613,93.54839,80.64516
