team,week,season,n_games,n_plays,n_dropbacks,n_rushes,epa_per_play,epa_per_dropback,epa_per_rush,success_rate,def_epa_per_play,def_epa_per_dropback,def_epa_per_rush,def_success_rate_allowed
BAL,12,2025,1,51,28,23,-0.00310,-0.06877,0.07684,0.35294,0.08266,-0.33649,0.55649,0.38776
BAL,13,2025,1,42,28,14,-0.25907,-0.54757,0.31792,0.40476,-0.08935,-0.13582,0.01983,0.40299
BAL,14,2025,1,75,40,35,0.01307,-0.01951,0.05031,0.44000,-0.26883,-0.34089,-0.10071,0.42000
BAL,15,2025,1,35,18,17,0.18138,0.07398,0.29509,0.45714,0.27583,0.44238,-0.02604,0.37778
BAL,16,2025,1,53,22,31,0.10520,0.15516,0.06974,0.50943,-0.19825,-0.24949,-0.03174,0.52941
BAL,17,2025,1,63,24,39,0.37067,0.40987,0.34655,0.60317,-0.19687,-0.57450,0.97798,0.54054
BAL,18,2025,1,47,21,26,0.13875,0.41427,-0.08379,0.34043,-0.05850,-0.18683,0.22049,0.45205
BUF,1,2025,1,62,39,23,0.21443,0.32269,0.03087,0.46774,-0.55643,-0.55812,-0.55494,0.53333
BUF,2,2025,1,58,28,30,0.27638,0.31937,0.23626,0.48276,0.57594,0.85124,0.33997,0.30769
BUF,3,2025,1,54,32,22,0.30329,0.37807,0.19451,0.55556,-0.06133,-0.04759,-0.08106,0.41071
BUF,4,2025,1,46,24,22,0.26925,0.46593,0.05469,0.52174,0.04596,0.11400,-0.02209,0.45161
BUF,5,2025,1,61,39,22,0.03893,0.22655,-0.29367,0.50820,-0.06187,-0.18005,0.15085,0.46429
BUF,6,2025,1,49,29,20,-0.19454,-0.28287,-0.06647,0.42857,-0.09649,-0.00733,-0.21775,0.49153
BUF,8,2025,1,49,21,28,0.47727,0.36635,0.56045,0.55102,0.53581,0.83428,0.17451,0.33333
BUF,9,2025,1,60,30,30,0.24242,0.32926,0.15557,0.56667,0.05419,0.16481,-0.16706,0.40351
BUF,10,2025,1,47,31,16,-0.33109,-0.18073,-0.62240,0.38298,-0.14768,-0.42893,0.08857,0.43478
BUF,11,2025,1,51,33,18,0.28851,0.34224,0.19001,0.49020,-0.12143,-0.05083,-0.18373,0.45312
BUF,12,2025,1,65,45,20,-0.16421,-0.27405,0.08291,0.36923,0.06426,0.17542,-0.07932,0.41818
BUF,13,2025,1,61,23,38,0.07982,0.09166,0.07265,0.44262,0.53439,0.80299,0.10049,0.29412
BUF,14,2025,1,58,37,21,0.25490,0.64470,-0.43188,0.56897,-0.01777,-0.06740,0.07364,0.48148
