team,season,n_games,kickers,fg_att_total,fg_made_total,fg_make_rate,fg_epa_per_attempt,xp_att,xp_made,xp_make_rate,xp_epa_per_attempt,fg_att_u30,fg_made_u30,fg_make_rate_u30,fg_att_u30_per_game,fg_att_b30_39,fg_made_b30_39,fg_make_rate_b30_39,fg_att_b30_39_per_game,fg_att_b40_49,fg_made_b40_49,fg_make_rate_b40_49,fg_att_b40_49_per_game,fg_att_b50p,fg_made_b50p,fg_make_rate_b50p,fg_att_b50p_per_game,kicking_points_per_game,fg_make_rate_pct,xp_make_rate_pct,kicking_points_per_game_pct,fg_epa_per_attempt_pct,xp_epa_per_attempt_pct
ARI,2026,1,C.Ryland,5,4,0.80000,-0.41149,2,2,1.00000,0.05117,1,1,1.00000,1.00000,1,1,1.00000,1.00000,2,2,1.00000,2.00000,1,0,0.00000,1.00000,14.00000,25.92593,58.06452,96.77419,22.22222,29.03226
ATL,2026,1,N.Folk,4,2,0.50000,-1.06366,1,1,1.00000,0.06757,0,0,,0.00000,0,0,,0.00000,2,1,0.50000,2.00000,2,1,0.50000,2.00000,7.00000,3.70370,58.06452,50.00000,0.00000,66.12903
BAL,2026,1,T.Loop,2,2,1.00000,1.05329,5,5,1.00000,0.06857,0,0,,0.00000,0,0,,0.00000,1,1,1.00000,1.00000,1,1,1.00000,1.00000,11.00000,64.81481,58.06452,87.09677,77.77778,93.54839
BUF,2026,1,T.Bass,3,3,1.00000,0.51356,3,3,1.00000,0.06857,0,0,,0.00000,2,2,1.00000,2.00000,1,1,1.00000,1.00000,0,0,,0.00000,12.00000,64.81481,58.06452,93.54839,51.85185,93.54839
CAR,2026,1,R.Fitzgerald,1,1,1.00000,0.98949,5,4,0.80000,-0.13243,0,0,,0.00000,0,0,,0.00000,1,1,1.00000,1.00000,0,0,,0.00000,7.00000,64.81481,12.90323,50.00000,70.37037,12.90323
CHI,2026,1,C.Santos,1,1,1.00000,0.64223,8,8,1.00000,0.06757,0,0,,0.00000,0,0,,0.00000,1,1,1.00000,1.00000,0,0,,0.00000,11.00000,64.81481,58.06452,87.09677,59.25926,66.12903
CIN,2026,1,E.McPherson,4,4,1.00000,1.44515,3,3,1.00000,0.06757,1,1,1.00000,1.00000,1,1,1.00000,1.00000,0,0,,0.00000,2,2,1.00000,2.00000,15.00000,64.81481,58.06452,100.00000,88.88889,66.12903
CLE,2026,1,A.Szmyt,1,1,1.00000,0.08433,1,1,1.00000,0.06757,1,1,1.00000,1.00000,0,0,,0.00000,0,0,,0.00000,0,0,,0.00000,4.00000,64.81481,58.06452,17.74194,29.62963,66.12903
DAL,2026,1,,0,0,,,3,2,0.66667,-0.18898,0,0,,0.00000,0,0,,0.00000,0,0,,0.00000,0,0,,0.00000,2.00000,,8.06452,4.83871,,9.67742
DEN,2026,1,W.Lutz,1,1,1.00000,0.17975,1,1,1.00000,0.06757,0,0,,0.00000,1,1,1.00000,1.00000,0,0,,0.00000,0,0,,0.00000,4.00000,64.81481,58.06452,17.74194,44.44444,66.12903
DET,2026,1,J.Bates,1,1,1.00000,0.02645,4,4,1.00000,0.05117,1,1,1.00000,1.00000,0,0,,0.00000,0,0,,0.00000,0,0,,0.00000,7.00000,64.81481,58.06452,50.00000,25.92593,29.03226
GB,2026,1,T.Smack,3,3,1.00000,1.23603,2,1,0.50000,-0.44883,1,1,1.00000,1.00000,0,0,,0.00000,1,1,1.00000,1.00000,1,1,1.00000,1.00000,10.00000,64.81481,1.61290,79.03226,85.18519,0.00000
HOU,2026,1,K.Fairbairn,1,1,1.00000,2.28995,4,4,1.00000,0.06857,0,0,,0.00000,0,0,,0.00000,0,0,,0.00000,1,1,1.00000,1.00000,7.00000,64.81481,58.06452,50.00000,96.29630,93.54839
IND,2026,1,S.Shrader,1,1,1.00000,2.37957,3,2,0.66667,-0.26476,0,0,,0.00000,0,0,,0.00000,0,0,,0.00000,1,1,1.00000,1.00000,5.00000,64.81481,8.06452,29.03226,100.00000,6.45161
JAX,2026,1,C.Little,2,2,1.00000,1.03114,4,4,1.00000,0.06757,0,0,,0.00000,0,0,,0.00000,2,2,1.00000,2.00000,0,0,,0.00000,10.00000,64.81481,58.06452,79.03226,74.07407,66.12903
KC,2026,1,H.Butker,1,1,1.00000,0.11269,4,4,1.00000,0.06757,1,1,1.00000,1.00000,0,0,,0.00000,0,0,,0.00000,0,0,,0.00000,7.00000,64.81481,58.06452,50.00000,33.33333,66.12903
LA,2026,1,,0,0,,,1,1,1.00000,0.05117,0,0,,0.00000,0,0,,0.00000,0,0,,0.00000,0,0,,0.00000,1.00000,,58.06452,0.00000,,29.03226
LAC,2026,1,,0,0,,,2,2,1.00000,0.05117,0,0,,0.00000,0,0,,0.00000,0,0,,0.00000,0,0,,0.00000,2.00000,,58.06452,4.83871,,29.03226
LV,2026,1,M.Gay,2,2,1.00000,0.70115,3,3,1.00000,0.05117,0,0,,0.00000,1,1,1.00000,1.00000,1,1,1.00000,1.00000,0,0,,0.00000,9.00000,64.81481,58.06452,70.96774,62.96296,29.03226
MIA,2026,1,R.Patterson,3,2,0.66667,-1.00352,1,1,1.00000,0.05117,0,0,,0.00000,1,1,1.00000,1.00000,2,1,0.50000,2.00000,0,0,,0.00000,7.00000,14.81481,58.06452,50.00000,3.70370,29.03226
MIN,2026,1,W.Reichard,1,1,1.00000,0.56046,4,4,1.00000,0.05117,0,0,,0.00000,1,1,1.00000,1.00000,0,0,,0.00000,0,0,,0.00000,7.00000,64.81481,58.06452,50.00000,55.55556,29.03226
NE,2026,1,A.Borregales,1,1,1.00000,1.64689,1,1,1.00000,0.06757,0,0,,0.00000,0,0,,0.00000,0,0,,0.00000,1,1,1.00000,1.00000,4.00000,64.81481,58.06452,17.74194,92.59259,66.12903
NO,2026,1,D.Carlson,2,1,0.50000,-0.55807,3,3,1.00000,0.05117,1,1,1.00000,1.00000,0,0,,0.00000,0,0,,0.00000,1,0,0.00000,1.00000,6.00000,3.70370,58.06452,33.87097,11.11111,29.03226
NYG,2026,1,,0,0,,,4,4,1.00000,0.06757,0,0,,0.00000,0,0,,0.00000,0,0,,0.00000,0,0,,0.00000,4.00000,,58.06452,17.74194,,66.12903
NYJ,2026,1,J.Sanders,4,3,0.75000,0.17166,2,2,1.00000,0.06757,0,0,,0.00000,1,1,1.00000,1.00000,0,0,,0.00000,3,2,0.66667,3.00000,11.00000,22.22222,58.06452,87.09677,40.74074,66.12903
PHI,2026,1,J.Elliott,1,1,1.00000,0.39254,3,3,1.00000,0.06757,0,0,,0.00000,1,1,1.00000,1.00000,0,0,,0.00000,0,0,,0.00000,6.00000,64.81481,58.06452,33.87097,48.14815,66.12903
PIT,2026,1,C.Boswell,3,2,0.66667,-0.53646,2,2,1.00000,0.06757,1,1,1.00000,1.00000,0,0,,0.00000,1,1,1.00000,1.00000,1,0,0.00000,1.00000,8.00000,14.81481,58.06452,64.51613,14.81481,66.12903
SEA,2026,1,J.Myers,2,2,1.00000,0.12376,1,1,1.00000,0.06757,1,1,1.00000,1.00000,1,1,1.00000,1.00000,0,0,,0.00000,0,0,,0.00000,7.00000,64.81481,58.06452,50.00000,37.03704,66.12903
SF,2026,1,E.Pineiro,3,2,0.66667,-0.48052,3,3,1.00000,0.05117,1,1,1.00000,1.00000,0,0,,0.00000,0,0,,0.00000,2,1,0.50000,2.00000,9.00000,14.81481,58.06452,70.96774,18.51852,29.03226
TB,2026,1,C.McLaughlin,2,2,1.00000,1.07998,3,3,1.00000,0.08575,0,0,,0.00000,1,1,1.00000,1.00000,0,0,,0.00000,1,1,1.00000,1.00000,9.00000,64.81481,58.06452,70.96774,81.48148,100.00000
TEN,2026,1,J.Slye,1,1,1.00000,0.84964,1,1,1.00000,0.06757,0,0,,0.00000,0,0,,0.00000,1,1,1.00000,1.00000,0,0,,0.00000,4.00000,64.81481,58.06452,17.74194,66.66667,66.12903
WAS,2026,1,D.Stevens,2,1,0.50000,-0.72296,2,1,0.50000,-0.31725,0,0,,0.00000,0,0,,0.00000,0,0,,0.00000,2,1,0.50000,2.00000,4.00000,3.70370,1.61290,17.74194,7.40741,3.22581
