team,season,n_dropbacks_def,n_dropbacks_off,n_ftn_def,n_ftn_off,four_man_rush_rate,four_man_rush_rate_faced,pressure_proxy_rate_forced,pressure_proxy_rate_allowed,four_man_rush_rate_pct,pressure_proxy_rate_forced_pct,pressure_proxy_rate_allowed_pct
ARI,2025,559,640,558,639,0.68996,0.75743,0.11628,0.18281,38.70968,9.67742,80.64516
ATL,2025,575,545,575,545,0.61217,0.70459,0.14957,0.12661,6.45161,54.83871,38.70968
BAL,2025,588,449,586,449,0.69795,0.62806,0.13095,0.16704,45.16129,19.35484,67.74194
BUF,2025,478,539,476,537,0.70378,0.66667,0.15900,0.12059,54.83871,70.96774,19.35484
CAR,2025,533,518,533,517,0.70919,0.68859,0.09944,0.15251,64.51613,6.45161,64.51613
CHI,2025,524,607,524,605,0.69847,0.66446,0.13931,0.10049,48.38710,35.48387,3.22581
CIN,2025,545,603,545,603,0.79817,0.76451,0.13028,0.14428,100.00000,16.12903,54.83871
CLE,2025,513,530,513,529,0.70370,0.72401,0.17739,0.21509,51.61290,93.54839,96.77419
DAL,2025,569,602,569,601,0.70475,0.67720,0.16872,0.14120,58.06452,83.87097,51.61290
DEN,2025,635,605,635,573,0.62677,0.75742,0.21575,0.10248,16.12903,100.00000,6.45161
DET,2025,561,562,561,562,0.64349,0.70107,0.14439,0.18861,19.35484,41.93548,83.87097
GB,2025,536,523,536,522,0.76493,0.67433,0.15858,0.13384,93.54839,67.74194,48.38710
HOU,2025,575,596,573,596,0.74869,0.65604,0.15130,0.12248,83.87097,61.29032,29.03226
IND,2025,594,547,594,545,0.62626,0.65138,0.13300,0.14808,12.90323,25.80645,58.06452
JAX,2025,587,597,587,597,0.66440,0.70184,0.13458,0.12395,29.03226,29.03226,35.48387
KC,2025,541,655,541,655,0.61183,0.71145,0.17006,0.17863,3.22581,87.09677,70.96774
LA,2025,554,601,551,601,0.74410,0.68719,0.17148,0.12146,77.41935,90.32258,25.80645
LAC,2025,530,608,497,608,0.73642,0.65789,0.14906,0.20724,74.19355,48.38710,93.54839
LV,2025,515,496,515,495,0.72233,0.68081,0.13786,0.19355,67.74194,32.25806,87.09677
MIA,2025,507,438,506,437,0.64625,0.73455,0.12821,0.12329,22.58065,12.90323,32.25806
MIN,2025,478,496,477,496,0.51992,0.70968,0.18828,0.21573,0.00000,96.77419,100.00000
NE,2025,496,571,493,569,0.66734,0.67487,0.15121,0.15061,32.25806,58.06452,61.29032
NO,2025,518,578,518,577,0.73552,0.75043,0.14865,0.12111,70.96774,45.16129,22.58065
NYG,2025,570,550,568,550,0.68486,0.71091,0.15614,0.18182,35.48387,64.51613,77.41935
NYJ,2025,540,452,539,450,0.70872,0.64889,0.09815,0.19690,61.29032,3.22581,90.32258
PHI,2025,605,539,603,539,0.78939,0.62338,0.16364,0.11317,96.77419,80.64516,12.90323
PIT,2025,577,535,577,535,0.65511,0.75327,0.16118,0.10654,25.80645,74.19355,9.67742
SEA,2025,597,488,596,486,0.74832,0.65844,0.16248,0.11885,80.64516,77.41935,16.12903
SF,2025,551,575,551,574,0.75318,0.73345,0.08167,0.13217,87.09677,0.00000,45.16129
TB,2025,587,591,587,590,0.62351,0.67627,0.13288,0.08460,9.67742,22.58065,0.00000
TEN,2025,535,492,535,492,0.75888,0.67683,0.14953,0.18089,90.32258,51.61290,74.19355
WAS,2025,553,498,553,498,0.69620,0.65462,0.14105,0.13052,41.93548,38.70968,41.93548
