team,season,side,down_group,n_plays,epa_per_play,success_rate
NYJ,2026,defense,early_1_2,23,0.20508,0.43478
NYJ,2026,defense,late_3_4,9,0.41501,0.33333
PHI,2026,offense,early_1_2,37,-0.15643,0.29730
PHI,2026,offense,late_3_4,14,0.67213,0.50000
PHI,2026,defense,early_1_2,50,0.04878,0.42000
PHI,2026,defense,late_3_4,17,-0.43878,0.47059
PIT,2026,offense,early_1_2,45,-0.14211,0.35556
PIT,2026,offense,late_3_4,14,-0.85581,0.21429
PIT,2026,defense,early_1_2,45,0.21319,0.44444
PIT,2026,defense,late_3_4,12,0.72533,0.16667
SEA,2026,offense,early_1_2,35,0.07284,0.42857
SEA,2026,offense,late_3_4,12,0.04449,0.33333
SEA,2026,defense,early_1_2,49,0.13063,0.40816
SEA,2026,defense,late_3_4,18,0.05246,0.44444
SF,2026,offense,early_1_2,46,0.23672,0.60870
SF,2026,offense,late_3_4,9,0.39376,0.66667
SF,2026,defense,early_1_2,28,-0.20391,0.53571
SF,2026,defense,late_3_4,8,1.07018,0.25000
TB,2026,offense,early_1_2,40,-0.14605,0.45000
TB,2026,offense,late_3_4,10,-0.48153,0.50000
TB,2026,defense,early_1_2,40,-0.11535,0.45000
TB,2026,defense,late_3_4,11,0.39528,0.54545
TEN,2026,offense,early_1_2,23,-0.20508,0.43478
TEN,2026,offense,late_3_4,9,-0.41501,0.33333
TEN,2026,defense,early_1_2,40,-0.26069,0.57500
TEN,2026,defense,late_3_4,10,-0.31378,0.50000
WAS,2026,offense,early_1_2,50,-0.04878,0.42000
WAS,2026,offense,late_3_4,17,0.43878,0.47059
WAS,2026,defense,early_1_2,37,0.15643,0.29730
WAS,2026,defense,late_3_4,14,-0.67213,0.50000
