team,n_drives,points_per_drive,td_rate,fg_rate,punt_rate,three_and_out_rate,turnover_drive_rate,downs_rate,avg_drive_start_own,season
ARI,169,2.00592,0.22485,0.14793,0.34911,0.21893,0.11834,0.09467,29.82500,2025
ATL,175,1.87429,0.20571,0.18286,0.36571,0.16000,0.09714,0.06286,29.92593,2025
BAL,171,2.32749,0.26901,0.17544,0.30994,0.18129,0.12865,0.05848,31.20497,2025
BUF,168,2.63095,0.35119,0.11310,0.29167,0.16667,0.10714,0.06548,29.64815,2025
CAR,159,1.83019,0.20755,0.15094,0.34591,0.15723,0.14465,0.08176,30.35762,2025
CHI,176,2.34091,0.26705,0.18750,0.34091,0.21023,0.06250,0.07386,32.03012,2025
CIN,174,2.26437,0.27011,0.14368,0.37356,0.20690,0.13793,0.03448,30.18072,2025
CLE,191,1.20419,0.13613,0.12565,0.47644,0.25131,0.13613,0.07330,29.59669,2025
DAL,173,2.43931,0.28324,0.20809,0.23699,0.13873,0.12139,0.05780,28.15854,2025
DEN,178,2.14045,0.24157,0.15730,0.42135,0.26404,0.08427,0.04494,28.78313,2025
DET,182,2.52747,0.30769,0.14835,0.30769,0.18132,0.08242,0.07143,32.23810,2025
GB,156,2.44872,0.28205,0.17949,0.31410,0.18590,0.08333,0.06410,29.40816,2025
HOU,185,1.90270,0.18378,0.25946,0.38378,0.22703,0.06486,0.04324,32.40237,2025
IND,168,2.64286,0.30952,0.20238,0.26190,0.17857,0.12500,0.05357,31.12258,2025
JAX,181,2.34254,0.28177,0.16575,0.33149,0.21547,0.09945,0.06077,32.48214,2025
KC,165,2.13939,0.23030,0.20000,0.33939,0.21212,0.09091,0.04848,29.06329,2025
LA,174,2.72414,0.36207,0.12644,0.28161,0.15517,0.09770,0.05172,31.43373,2025
LAC,172,2.06977,0.20930,0.22093,0.34302,0.19186,0.11628,0.05233,29.96970,2025
LV,176,1.34091,0.14205,0.12500,0.40909,0.22159,0.13636,0.10227,29.14793,2025
MIA,171,1.89474,0.21637,0.15789,0.36257,0.22807,0.14035,0.06433,29.86709,2025
MIN,175,1.81714,0.18857,0.18857,0.37143,0.24571,0.15429,0.04571,30.68519,2025
NE,166,2.65663,0.31928,0.16265,0.30120,0.18072,0.10241,0.04217,30.31818,2025
NO,172,1.60465,0.16279,0.17442,0.33140,0.20349,0.13953,0.09302,29.55215,2025
NYG,167,2.19760,0.25749,0.13772,0.34132,0.18563,0.10778,0.11976,31.28931,2025
NYJ,177,1.46328,0.14689,0.15819,0.40113,0.23729,0.11864,0.11864,31.08929,2025
PHI,174,2.01149,0.24713,0.11494,0.41379,0.28736,0.06897,0.05172,29.44444,2025
PIT,168,2.19048,0.25000,0.16071,0.36905,0.25000,0.08333,0.05952,30.79375,2025
SEA,180,2.35556,0.24444,0.22778,0.28333,0.18889,0.15000,0.02222,30.08092,2025
SF,165,2.51515,0.29091,0.20000,0.26061,0.14545,0.13939,0.04242,31.53503,2025
TB,174,1.98851,0.22414,0.18391,0.36782,0.18966,0.10345,0.08621,30.56790,2025
TEN,180,1.41667,0.13889,0.16111,0.43333,0.27222,0.09444,0.09444,30.88166,2025
WAS,159,2.10692,0.24528,0.14465,0.35220,0.17610,0.13208,0.05660,29.52980,2025
