team,season,n_kickoffs,touchbacks_forced,touchback_rate,opp_avg_start_after_kickoff,n_ko_excluded_onside_kept,kickoff_epa_per_kick,n_kickoffs_received,n_kick_returns,kick_return_epa_per_return,kick_return_yards_per_return,n_punts,punt_epa_per_punt,punt_touchback_rate,punt_inside_20_rate,n_punt_returns,punt_return_epa_per_return,punt_return_yards_per_return,fg_blocks_forced,opp_fg_attempts,punt_blocks_forced,opp_punts,xp_blocks_forced,touchback_rate_pct,kickoff_epa_per_kick_pct,kick_return_epa_per_return_pct,punt_epa_per_punt_pct,punt_inside_20_rate_pct,punt_return_epa_per_return_pct,opp_avg_start_after_kickoff_pct,punt_touchback_rate_pct
ARI,2026,6,1,0.16667,26.33333,0,0.02652,3,3,0.07999,23.00000,3,-0.73692,0.66667,0.33333,1,4.38639,0.00000,0,0,1,3,0,64.51613,93.54839,32.25806,6.66667,28.33333,100.00000,19.35484,100.00000
ATL,2026,4,0,0.00000,34.75000,0,-0.61431,5,4,0.31963,30.75000,6,0.02708,0.33333,0.50000,3,0.08231,11.00000,0,3,0,4,0,17.74194,19.35484,54.83871,53.33333,55.00000,45.83333,93.54839,86.66667
BAL,2026,7,1,0.14286,26.83333,1,-0.47425,5,5,0.44940,30.20000,3,0.04166,0.00000,1.00000,3,0.00852,10.00000,0,1,0,5,0,48.38710,29.03226,67.74194,60.00000,96.66667,37.50000,29.03226,35.00000
BUF,2026,8,0,0.00000,26.87500,0,-0.01940,6,5,0.19924,26.60000,2,0.53650,0.00000,0.50000,2,-0.28540,5.00000,0,1,0,4,0,17.74194,87.09677,45.16129,96.66667,55.00000,20.83333,32.25806,35.00000
CAR,2026,7,2,0.28571,23.16667,1,-0.10862,10,9,0.20480,17.00000,3,-0.80029,0.33333,0.00000,2,-2.25207,8.50000,0,1,0,2,0,87.09677,64.51613,48.38710,3.33333,8.33333,0.00000,0.00000,86.66667
CHI,2026,10,1,0.10000,28.40000,0,-0.16087,7,5,0.12877,17.00000,2,2.25207,0.00000,0.00000,1,1.58385,23.00000,0,1,0,3,1,38.70968,51.61290,38.70968,100.00000,8.33333,95.83333,48.38710,35.00000
CIN,2026,8,1,0.12500,32.00000,0,-0.34776,6,6,-0.00527,23.66667,1,-0.34905,0.00000,0.00000,0,,,0,2,0,0,0,41.93548,45.16129,19.35484,30.00000,8.33333,,64.51613,35.00000
CLE,2026,3,0,0.00000,33.66667,0,-0.15310,7,6,0.75877,38.00000,3,0.27542,0.00000,0.33333,1,0.32559,10.00000,0,2,0,2,0,17.74194,58.06452,87.09677,86.66667,28.33333,62.50000,87.09677,35.00000
DAL,2026,4,1,0.25000,26.00000,0,-0.02066,5,5,-0.19924,24.40000,2,0.21658,0.00000,1.00000,0,,,0,0,0,1,0,83.87097,80.64516,3.22581,80.00000,96.66667,,14.51613,35.00000
DEN,2026,3,0,0.00000,32.66667,0,-0.49244,6,5,0.41786,27.60000,6,0.13476,0.16667,0.50000,2,-0.34468,18.00000,0,1,0,4,0,17.74194,25.80645,64.51613,70.00000,55.00000,16.66667,70.96774,78.33333
DET,2026,6,1,0.16667,28.00000,0,-0.13772,6,4,0.28315,21.00000,7,-0.15954,0.14286,0.42857,3,0.49635,11.66667,0,2,0,5,0,64.51613,61.29032,51.61290,36.66667,40.00000,70.83333,45.16129,73.33333
GB,2026,6,1,0.16667,33.40000,1,-0.75425,7,6,0.34345,29.33333,3,-0.65129,0.00000,0.66667,2,0.75545,8.50000,0,1,0,4,0,64.51613,9.67742,58.06452,10.00000,80.00000,83.33333,83.87097,35.00000
HOU,2026,6,1,0.16667,29.66667,0,-0.26827,8,8,0.01940,25.25000,4,0.39296,0.00000,0.50000,0,,,0,3,0,2,0,64.51613,48.38710,22.58065,93.33333,55.00000,,51.61290,35.00000
IND,2026,5,0,0.00000,33.00000,0,-0.44940,7,6,0.47321,32.83333,5,-0.10547,0.00000,0.00000,0,,,0,2,0,3,0,17.74194,32.25806,70.96774,43.33333,8.33333,,80.64516,35.00000
JAX,2026,7,1,0.14286,30.16667,1,-0.72487,3,3,0.15310,27.33333,2,0.10602,0.00000,0.50000,1,-0.59503,-5.00000,0,1,0,3,0,48.38710,12.90323,41.93548,66.66667,55.00000,4.16667,58.06452,35.00000
KC,2026,6,1,0.16667,32.33333,0,-0.43192,3,3,0.49244,26.00000,4,0.36457,0.00000,0.50000,2,-0.36990,3.50000,0,1,0,6,0,64.51613,35.48387,74.19355,90.00000,55.00000,12.50000,67.74194,35.00000
LA,2026,2,0,0.00000,40.00000,0,-0.91267,6,5,-0.07994,23.80000,3,-0.06321,0.00000,0.66667,1,0.82965,11.00000,0,3,0,2,0,17.74194,3.22581,16.12903,46.66667,80.00000,91.66667,96.77419,35.00000
