team,season,epa_per_play_pct,epa_per_dropback_pct,epa_per_rush_pct,success_rate_pct,def_epa_per_play_pct,def_epa_per_dropback_pct,def_epa_per_rush_pct,def_success_rate_allowed_pct,explosive_rate_pct,explosive_rate_allowed_pct,int_rate_per_dropback_pct,int_diff_actual_minus_expected_pct,fumble_lost_rate_per_play_pct,fumble_lost_diff_actual_minus_expected_pct,takeaways_int_diff_pct,opp_fumble_recovery_rate_pct,qb_hit_rate_allowed_pct,sack_rate_allowed_pct,qb_hit_rate_forced_pct,sack_rate_forced_pct,points_per_game_pct,points_per_drive_pct,int_worthy_throw_rate_pct
ARI,2025,22.58065,32.25806,9.67742,29.03226,25.80645,22.58065,35.48387,83.87097,51.61290,83.87097,41.93548,41.93548,70.96774,70.96774,38.70968,77.41935,80.64516,80.64516,9.67742,12.90323,29.03226,29.03226,6.45161
ATL,2025,48.38710,48.38710,54.83871,51.61290,64.51613,64.51613,38.70968,41.93548,74.19355,48.38710,9.67742,12.90323,64.51613,64.51613,80.64516,25.80645,38.70968,19.35484,58.06452,96.77419,25.80645,19.35484,38.70968
BAL,2025,67.74194,61.29032,90.32258,64.51613,32.25806,32.25806,58.06452,51.61290,80.64516,54.83871,61.29032,61.29032,93.54839,93.54839,19.35484,54.83871,67.74194,87.09677,19.35484,3.22581,67.74194,70.96774,12.90323
BUF,2025,87.09677,83.87097,100.00000,87.09677,67.74194,93.54839,6.45161,35.48387,93.54839,67.74194,54.83871,54.83871,80.64516,80.64516,87.09677,54.83871,22.58065,61.29032,67.74194,38.70968,88.70968,93.54839,87.09677
CAR,2025,19.35484,16.12903,45.16129,25.80645,29.03226,25.80645,19.35484,48.38710,25.80645,35.48387,70.96774,70.96774,96.77419,96.77419,83.87097,29.03226,64.51613,48.38710,3.22581,29.03226,16.12903,16.12903,25.80645
CHI,2025,77.41935,74.19355,87.09677,77.41935,48.38710,51.61290,45.16129,67.74194,77.41935,64.51613,3.22581,3.22581,12.90323,12.90323,100.00000,88.70968,3.22581,0.00000,35.48387,48.38710,74.19355,64.51613,64.51613
CIN,2025,41.93548,22.58065,93.54839,67.74194,12.90323,12.90323,3.22581,87.09677,22.58065,93.54839,83.87097,83.87097,41.93548,41.93548,74.19355,74.19355,61.29032,25.80645,16.12903,41.93548,64.51613,61.29032,51.61290
CLE,2025,6.45161,0.00000,19.35484,0.00000,80.64516,96.77419,41.93548,12.90323,9.67742,41.93548,93.54839,96.77419,25.80645,25.80645,48.38710,9.67742,100.00000,74.19355,93.54839,93.54839,3.22581,3.22581,96.77419
DAL,2025,90.32258,90.32258,77.41935,80.64516,0.00000,3.22581,9.67742,96.77419,61.29032,100.00000,0.00000,0.00000,77.41935,77.41935,12.90323,41.93548,54.83871,9.67742,83.87097,19.35484,80.64516,87.09677,19.35484
DEN,2025,61.29032,67.74194,41.93548,45.16129,83.87097,80.64516,80.64516,0.00000,38.70968,0.00000,45.16129,45.16129,19.35484,19.35484,16.12903,14.51613,6.45161,3.22581,100.00000,100.00000,58.06452,45.16129,80.64516
