team,season,n_games,n_plays,n_dropbacks,n_rushes,epa_per_play,epa_per_dropback,epa_per_rush,success_rate,def_epa_per_play,def_epa_per_dropback,def_epa_per_rush,def_success_rate_allowed,explosive_rate,explosive_rate_allowed,int_thrown,int_rate_per_dropback,int_expected,int_diff_actual_minus_expected,fumbles,fumbles_lost,fumble_lost_rate_per_play,fumble_lost_expected,fumble_lost_diff_actual_minus_expected,takeaways_int,takeaways_int_expected,takeaways_int_diff,opp_fumbles,opp_fumbles_lost,opp_fumbles_lost_expected,opp_fumble_recovery_rate,qb_hit_rate_allowed,sack_rate_allowed,qb_hit_rate_forced,sack_rate_forced,points_per_game,n_drives,points_per_drive,int_worthy_throws,int_worthy_throw_rate
ARI,2025,17,933,640,293,-0.02765,0.01905,-0.12965,0.42658,-0.07848,-0.14231,0.01667,0.47966,0.12326,0.14561,10,0.01562,11.94599,-1.94599,9,7,0.00750,5.96706,1.03294,9,10.43407,-1.43407,14,9,5.97346,0.64286,0.17969,0.08438,0.11091,0.04651,20.88235,155,2.29032,12,0.01875
ATL,2025,17,947,545,402,0.00597,0.03970,-0.03977,0.44667,0.02628,0.02731,0.02474,0.43841,0.13939,0.12422,7,0.01284,10.17276,-3.17276,14,7,0.00739,6.05660,0.94340,14,10.73272,3.26728,17,5,6.12695,0.29412,0.12294,0.04587,0.14609,0.09739,20.76471,163,2.16564,14,0.02569
BAL,2025,17,849,449,400,0.05696,0.05828,0.05547,0.45583,-0.05308,-0.11137,0.05471,0.44702,0.14488,0.13245,9,0.02004,8.38086,0.61914,16,9,0.01060,5.42984,3.57016,8,10.97538,-2.97538,10,5,5.79438,0.50000,0.16036,0.08909,0.12925,0.03912,24.94118,151,2.80795,9,0.02004
BUF,2025,17,958,539,419,0.13196,0.17357,0.07844,0.48643,0.03172,0.10757,-0.06394,0.42590,0.15866,0.13886,10,0.01855,10.06076,-0.06076,17,8,0.00835,6.12695,1.87305,13,8.92216,4.07784,10,5,5.48100,0.50000,0.11874,0.06679,0.15481,0.05858,28.29412,153,3.14379,18,0.03340
CAR,2025,17,897,518,379,-0.07190,-0.08673,-0.05163,0.42363,-0.07611,-0.12511,-0.00703,0.44676,0.11706,0.12294,11,0.02124,9.66878,1.33122,15,10,0.01115,5.73682,4.26318,14,9.94877,4.05123,9,3,5.82636,0.33333,0.15058,0.06178,0.09756,0.05629,18.29412,148,2.10135,12,0.02317
CHI,2025,17,1025,607,418,0.09535,0.12346,0.05452,0.46927,-0.01468,-0.04979,0.03087,0.46121,0.14146,0.13793,7,0.01153,11.33002,-4.33002,12,4,0.00390,6.55546,-2.55546,17,9.78078,7.21922,15,10,5.93509,0.66667,0.09885,0.03130,0.13740,0.06107,25.94118,165,2.67273,18,0.02965
CIN,2025,17,918,603,315,-0.00139,-0.03946,0.07149,0.45752,-0.13970,-0.17980,-0.08048,0.48687,0.11656,0.15427,15,0.02488,11.25536,3.74464,7,5,0.00545,5.87113,-0.87113,13,10.17276,2.82724,11,7,5.84555,0.63636,0.14262,0.04975,0.12844,0.05872,24.35294,156,2.65385,17,0.02819
CLE,2025,17,878,530,348,-0.17375,-0.22450,-0.09647,0.34282,0.07535,0.11071,0.02760,0.41209,0.10706,0.12318,17,0.03208,9.89277,7.10723,7,4,0.00456,5.61531,-1.61531,9,9.57546,-0.57546,14,3,5.71124,0.21429,0.21509,0.07547,0.17739,0.09162,16.41176,170,1.64118,21,0.03962
DAL,2025,17,981,602,379,0.13536,0.20904,0.01833,0.47197,-0.17914,-0.25169,-0.06018,0.49236,0.13048,0.16157,6,0.00997,11.23670,-5.23670,16,8,0.00815,6.27405,1.72595,6,10.62073,-4.62073,11,5,5.85834,0.45455,0.14120,0.04153,0.16169,0.05272,27.70588,153,3.07843,13,0.02159
DEN,2025,17,958,605,353,0.04684,0.10469,-0.05232,0.44363,0.07988,0.07338,0.09196,0.37155,0.12109,0.08598,10,0.01653,11.29269,-1.29269,7,4,0.00418,6.12695,-2.12695,8,11.85266,-3.85266,9,2,6.24847,0.22222,0.10083,0.03140,0.21260,0.09764,23.58824,167,2.40120,19,0.03140
DET,2025,17,944,562,382,0.07815,0.16848,-0.05476,0.45551,0.00834,0.01430,-0.00145,0.42525,0.14831,0.14175,8,0.01423,10.49007,-2.49007,11,7,0.00742,6.03742,0.96258,12,10.47141,1.52859,19,5,5.77520,0.26316,0.18861,0.06050,0.13904,0.06952,28.29412,162,2.96914,8,0.01423
GB,2025,17,920,523,397,0.13959,0.28801,-0.05594,0.48913,-0.05045,-0.12415,0.04429,0.45016,0.15326,0.10808,7,0.01338,9.76211,-2.76211,18,6,0.00652,5.88392,0.11608,5,10.00477,-5.00477,7,3,6.09498,0.42857,0.13193,0.04971,0.15858,0.05597,23.00000,144,2.71528,9,0.01721
HOU,2025,17,983,596,387,-0.02110,0.04747,-0.12670,0.41811,0.11048,0.09151,0.14275,0.38554,0.10885,0.11720,9,0.01510,11.12470,-2.12470,8,2,0.00203,6.28684,-4.28684,15,10.73272,4.26728,15,7,5.83915,0.46667,0.12081,0.05034,0.14435,0.07478,23.76471,175,2.30857,18,0.03020
IND,2025,17,915,547,368,0.09822,0.11397,0.07482,0.46230,-0.01856,-0.07882,0.07898,0.46410,0.13880,0.14360,11,0.02011,10.21009,0.78991,15,6,0.00656,5.85194,0.14806,12,11.08737,0.91263,9,6,6.14614,0.66667,0.13711,0.04570,0.12963,0.05051,27.41176,150,3.10667,18,0.03291
JAX,2025,17,961,597,364,0.04924,0.07854,0.00119,0.45890,0.09139,0.07993,0.11465,0.41781,0.13007,0.10388,12,0.02010,11.14337,0.85663,10,5,0.00520,6.14614,-1.14614,16,10.95671,5.04329,9,6,5.60252,0.66667,0.12060,0.06198,0.13118,0.04429,27.88235,164,2.89024,18,0.03015
KC,2025,17,971,655,316,0.02780,0.05032,-0.01886,0.45108,0.00506,-0.05835,0.09879,0.44101,0.10814,0.11136,12,0.01832,12.22597,-0.22597,16,3,0.00309,6.21010,-3.21010,9,10.09809,-1.09809,9,2,5.80078,0.22222,0.17252,0.06260,0.16636,0.06470,21.29412,152,2.38158,18,0.02748
LA,2025,17,956,601,355,0.14668,0.21170,0.03660,0.52092,0.06076,0.04879,0.07797,0.41853,0.16004,0.10650,8,0.01331,11.21803,-3.21803,10,7,0.00732,6.11416,0.88584,13,10.34075,2.65925,14,10,6.00544,0.71429,0.11980,0.03661,0.16787,0.07040,30.47059,158,3.27848,14,0.02329
LAC,2025,17,950,608,342,-0.01173,0.01564,-0.06038,0.43684,0.07174,0.05811,0.09364,0.41047,0.12000,0.12093,13,0.02138,11.34869,1.65131,14,4,0.00421,6.07579,-2.07579,17,9.89277,7.10723,13,2,5.50019,0.15385,0.20559,0.08717,0.14717,0.07925,21.64706,156,2.35897,18,0.02961
