team,season,side,split,n,mean,p10,p25,median,p75,p90,share_neg_epa,share_chunk_epa
CLE,2025,defense,rush,380,0.02760,-1.06136,-0.51143,0.20622,0.53678,0.96920,0.40000,0.08947
DAL,2025,offense,all,981,0.13536,-1.08461,-0.55077,-0.08397,0.78198,1.80847,0.52803,0.19266
DAL,2025,offense,dropback,602,0.20904,-1.32909,-0.65536,-0.06788,1.07034,2.22540,0.51329,0.26412
DAL,2025,offense,rush,379,0.01833,-0.78180,-0.42606,-0.10856,0.51298,0.91311,0.55145,0.07916
DAL,2025,defense,all,916,-0.17914,-1.94326,-0.86121,0.02238,0.55716,1.13300,0.49236,0.11463
DAL,2025,defense,dropback,569,-0.25169,-2.35290,-1.03279,-0.03539,0.62233,1.35562,0.50967,0.13708
DAL,2025,defense,rush,347,-0.06018,-1.11964,-0.58649,0.09705,0.49171,0.89389,0.46398,0.07781
DEN,2025,offense,all,958,0.04684,-1.10836,-0.65521,-0.21819,0.72352,1.63644,0.55637,0.18163
DEN,2025,offense,dropback,605,0.10469,-1.30313,-0.72074,-0.22313,0.89713,1.91910,0.54876,0.22975
DEN,2025,offense,rush,353,-0.05232,-0.95090,-0.54419,-0.21640,0.45123,0.98825,0.56941,0.09915
DEN,2025,defense,all,977,0.07988,-1.39758,-0.48627,0.28370,0.69582,1.32311,0.37155,0.15353
DEN,2025,defense,dropback,635,0.07338,-1.73981,-0.65144,0.35529,0.80791,1.49814,0.37323,0.20157
DEN,2025,defense,rush,342,0.09196,-0.74912,-0.30726,0.22566,0.51028,0.82703,0.36842,0.06433
DET,2025,offense,all,944,0.07815,-1.32890,-0.62051,-0.18432,0.79602,1.75389,0.54449,0.20127
DET,2025,offense,dropback,562,0.16848,-1.44867,-0.73197,-0.09294,1.14618,2.27342,0.51423,0.27046
DET,2025,offense,rush,382,-0.05476,-1.02117,-0.53261,-0.22366,0.35888,0.98459,0.58901,0.09948
DET,2025,defense,all,903,0.00834,-1.70796,-0.73372,0.23016,0.67279,1.37964,0.42525,0.15061
DET,2025,defense,dropback,561,0.01430,-2.08339,-1.01252,0.33123,0.83033,1.62363,0.42602,0.20499
DET,2025,defense,rush,342,-0.00145,-1.13725,-0.37782,0.15388,0.50500,0.82810,0.42398,0.06140
GB,2025,offense,all,920,0.13959,-1.10934,-0.53120,-0.02215,0.77330,1.80421,0.51087,0.20326
GB,2025,offense,dropback,523,0.28801,-1.29886,-0.59334,0.09422,1.18167,2.21074,0.47801,0.28681
GB,2025,offense,rush,397,-0.05594,-0.92874,-0.47756,-0.12846,0.47612,0.95639,0.55416,0.09320
GB,2025,defense,all,953,-0.05045,-1.57137,-0.66475,0.12739,0.57420,1.12003,0.45016,0.12172
GB,2025,defense,dropback,536,-0.12415,-1.93962,-0.93315,0.14345,0.65213,1.34501,0.44403,0.15112
GB,2025,defense,rush,417,0.04429,-0.94326,-0.46127,0.08883,0.45621,0.88083,0.45803,0.08393
HOU,2025,offense,all,983,-0.02110,-1.22040,-0.64083,-0.20631,0.61813,1.52456,0.58189,0.17497
HOU,2025,offense,dropback,596,0.04747,-1.40292,-0.75915,-0.17044,0.91382,1.77823,0.55201,0.23658
HOU,2025,offense,rush,387,-0.12670,-0.90728,-0.54442,-0.23757,0.32220,0.79948,0.62791,0.08010
HOU,2025,defense,all,913,0.11048,-1.73601,-0.54268,0.30867,0.77150,1.42676,0.38554,0.16758
HOU,2025,defense,dropback,575,0.09151,-1.98299,-0.85983,0.40372,0.84160,1.64208,0.39478,0.21217
HOU,2025,defense,rush,338,0.14275,-0.78996,-0.27408,0.24323,0.54407,0.97896,0.36982,0.09172
IND,2025,offense,all,915,0.09822,-1.14430,-0.57239,-0.10775,0.76788,1.74464,0.53770,0.21202
IND,2025,offense,dropback,547,0.11397,-1.37289,-0.67678,-0.11200,1.11992,1.86503,0.53199,0.27057
IND,2025,offense,rush,368,0.07482,-0.83507,-0.48776,-0.10190,0.48615,1.19471,0.54620,0.12500
IND,2025,defense,all,961,-0.01856,-1.55641,-0.74060,0.12051,0.61163,1.21102,0.46410,0.12383
IND,2025,defense,dropback,594,-0.07882,-2.01228,-1.01009,0.07731,0.70229,1.55923,0.48485,0.15320
IND,2025,defense,rush,367,0.07898,-0.96950,-0.46274,0.14860,0.51241,0.89743,0.43052,0.07629
JAX,2025,offense,all,961,0.04924,-1.21702,-0.64291,-0.11349,0.75437,1.72403,0.54110,0.19979
JAX,2025,offense,dropback,597,0.07854,-1.37403,-0.73784,-0.08556,0.99607,1.92612,0.52261,0.24958
JAX,2025,offense,rush,364,0.00119,-0.96012,-0.50815,-0.13055,0.49221,1.15473,0.57143,0.11813
JAX,2025,defense,all,876,0.09139,-1.39023,-0.64165,0.20488,0.62968,1.32634,0.41781,0.14726
JAX,2025,defense,dropback,587,0.07993,-1.72113,-0.82934,0.20569,0.77732,1.52277,0.44634,0.17717
JAX,2025,defense,rush,289,0.11465,-0.80086,-0.32168,0.20370,0.45484,0.91852,0.35986,0.08651
KC,2025,offense,all,971,0.02780,-1.25841,-0.60127,-0.11383,0.65968,1.58138,0.54892,0.18332
KC,2025,offense,dropback,655,0.05032,-1.39201,-0.74375,-0.13588,0.83422,1.82736,0.53740,0.22901
KC,2025,offense,rush,316,-0.01886,-0.79659,-0.46675,-0.09108,0.39483,0.93363,0.57278,0.08861
KC,2025,defense,all,907,0.00506,-1.50424,-0.61115,0.14836,0.60881,1.24399,0.44101,0.13341
KC,2025,defense,dropback,541,-0.05835,-1.91388,-0.86362,0.08381,0.71907,1.46447,0.47320,0.17375
KC,2025,defense,rush,366,0.09879,-0.80570,-0.36555,0.21180,0.51161,0.83127,0.39344,0.07377
LA,2025,offense,all,956,0.14668,-1.16998,-0.52679,0.07106,0.84343,1.71425,0.47908,0.21862
LA,2025,offense,dropback,601,0.21170,-1.38798,-0.61880,0.11385,1.16824,2.07403,0.47421,0.28120
LA,2025,offense,rush,355,0.03660,-0.64007,-0.42082,0.01474,0.56018,1.03433,0.48732,0.11268
LA,2025,defense,all,939,0.06076,-1.52773,-0.61072,0.23653,0.59801,1.26736,0.41853,0.13312
LA,2025,defense,dropback,554,0.04879,-1.87386,-0.88310,0.26463,0.77541,1.58321,0.44765,0.19134
LA,2025,defense,rush,385,0.07797,-0.87325,-0.29237,0.23268,0.50601,0.78287,0.37662,0.04935
LAC,2025,offense,all,950,-0.01173,-1.35965,-0.64141,-0.17896,0.69742,1.56441,0.56316,0.17789
LAC,2025,offense,dropback,608,0.01564,-1.53641,-0.76864,-0.17380,0.91872,1.92799,0.54112,0.22697
LAC,2025,offense,rush,342,-0.06038,-0.94734,-0.51723,-0.18133,0.35758,0.93851,0.60234,0.09064
LAC,2025,defense,all,860,0.07174,-1.58597,-0.61955,0.24491,0.75620,1.37754,0.41047,0.16279
LAC,2025,defense,dropback,530,0.05811,-1.81226,-0.80168,0.29741,0.81932,1.58454,0.41509,0.20000
LAC,2025,defense,rush,330,0.09364,-0.91259,-0.37543,0.19498,0.55429,1.00207,0.40303,0.10303
LV,2025,offense,all,797,-0.22879,-1.57170,-0.83433,-0.34019,0.47212,1.41398,0.63363,0.14555
LV,2025,offense,dropback,496,-0.22037,-1.75942,-0.94046,-0.37937,0.65254,1.79090,0.61089,0.19960
LV,2025,offense,rush,301,-0.24267,-1.17645,-0.66811,-0.31997,0.25378,0.74015,0.67110,0.05648
LV,2025,defense,all,881,-0.03953,-1.65794,-0.73685,0.11826,0.62575,1.17948,0.45062,0.13394
LV,2025,defense,dropback,515,-0.07590,-1.91110,-0.94785,0.12434,0.74382,1.31350,0.45825,0.15728
LV,2025,defense,rush,366,0.01165,-1.10449,-0.50114,0.11250,0.51472,1.00274,0.43989,0.10109
MIA,2025,offense,all,777,-0.02077,-1.36128,-0.68093,-0.19001,0.71642,1.63939,0.57786,0.19305
MIA,2025,offense,dropback,438,-0.01864,-1.55619,-0.79555,-0.29142,0.99049,1.82675,0.57306,0.24658
