team,season,n_plays,n_plays_def,own_fumbles,own_fumble_rate_per_play,own_fumbles_expected,own_fumble_diff_actual_minus_expected,forced_fumbles,forced_fumble_rate_per_play,forced_fumbles_expected,forced_fumble_diff_actual_minus_expected,own_fumble_retained_share,own_retained_share_vs_league,opp_fumble_recovery_share,opp_recovery_share_vs_league,league_recovery_share,forced_fumble_rate_per_play_pct,opp_fumble_recovery_share_pct,own_fumble_rate_per_play_pct
ARI,2026,64,45,0,0.00000,1.33891,-1.33891,1,0.02222,0.94142,0.05858,,,1.00000,0.48571,0.51429,58.06452,81.57895,17.74194
ATL,2026,57,59,2,0.03509,1.19247,0.80753,1,0.01695,1.23431,-0.23431,1.00000,0.51429,1.00000,0.48571,0.51429,41.93548,81.57895,77.41935
BAL,2026,45,43,1,0.02222,0.94142,0.05858,1,0.02326,0.89958,0.10042,0.00000,-0.48571,1.00000,0.48571,0.51429,66.12903,81.57895,58.06452
BUF,2026,52,73,2,0.03846,1.08787,0.91213,2,0.02740,1.52720,0.47280,1.00000,0.51429,1.00000,0.48571,0.51429,72.58065,81.57895,83.87097
CAR,2026,45,54,1,0.02222,0.94142,0.05858,1,0.01852,1.12971,-0.12971,0.00000,-0.48571,1.00000,0.48571,0.51429,45.16129,81.57895,58.06452
CHI,2026,54,45,1,0.01852,1.12971,-0.12971,1,0.02222,0.94142,0.05858,0.00000,-0.48571,1.00000,0.48571,0.51429,58.06452,81.57895,45.16129
CIN,2026,51,50,0,0.00000,1.06695,-1.06695,4,0.08000,1.04603,2.95397,,,1.00000,0.48571,0.51429,100.00000,81.57895,17.74194
CLE,2026,32,49,2,0.06250,0.66946,1.33054,1,0.02041,1.02510,-0.02510,0.50000,0.01429,0.00000,-0.51429,0.51429,51.61290,13.15789,93.54839
DAL,2026,44,58,0,0.00000,0.92050,-0.92050,4,0.06897,1.21339,2.78661,,,0.25000,-0.26429,0.51429,96.77419,31.57895,17.74194
DEN,2026,37,50,2,0.05405,0.77406,1.22594,2,0.04000,1.04603,0.95397,0.50000,0.01429,0.00000,-0.51429,0.51429,87.09677,13.15789,90.32258
DET,2026,73,86,2,0.02740,1.52720,0.47280,2,0.02326,1.79916,0.20084,0.50000,0.01429,0.50000,-0.01429,0.51429,66.12903,47.36842,72.58065
GB,2026,56,55,2,0.03571,1.17155,0.82845,0,0.00000,1.15063,-1.15063,0.50000,0.01429,,,0.51429,17.74194,,80.64516
HOU,2026,73,52,2,0.02740,1.52720,0.47280,2,0.03846,1.08787,0.91213,0.00000,-0.48571,0.00000,-0.51429,0.51429,83.87097,13.15789,72.58065
IND,2026,43,45,1,0.02326,0.89958,0.10042,1,0.02222,0.94142,0.05858,0.00000,-0.48571,1.00000,0.48571,0.51429,58.06452,81.57895,66.12903
JAX,2026,49,32,1,0.02041,1.02510,-0.02510,2,0.06250,0.66946,1.33054,1.00000,0.51429,0.50000,-0.01429,0.51429,93.54839,47.36842,51.61290
KC,2026,50,37,2,0.04000,1.04603,0.95397,2,0.05405,0.77406,1.22594,1.00000,0.51429,0.50000,-0.01429,0.51429,90.32258,47.36842,87.09677
LA,2026,36,55,0,0.00000,0.75314,-0.75314,0,0.00000,1.15063,-1.15063,,,,,0.51429,17.74194,,17.74194
LAC,2026,45,64,1,0.02222,0.94142,0.05858,0,0.00000,1.33891,-1.33891,0.00000,-0.48571,,,0.51429,17.74194,,58.06452
LV,2026,51,38,0,0.00000,1.06695,-1.06695,0,0.00000,0.79498,-0.79498,,,,,0.51429,17.74194,,17.74194
MIA,2026,38,51,0,0.00000,0.79498,-0.79498,0,0.00000,1.06695,-1.06695,,,,,0.51429,17.74194,,17.74194
MIN,2026,55,56,0,0.00000,1.15063,-1.15063,2,0.03571,1.17155,0.82845,,,0.50000,-0.01429,0.51429,80.64516,47.36842,17.74194
NE,2026,67,47,0,0.00000,1.40167,-1.40167,0,0.00000,0.98326,-0.98326,,,,,0.51429,17.74194,,17.74194
NO,2026,86,73,2,0.02326,1.79916,0.20084,2,0.02740,1.52720,0.47280,0.50000,0.01429,0.50000,-0.01429,0.51429,72.58065,47.36842,66.12903
NYG,2026,58,44,4,0.06897,1.21339,2.78661,0,0.00000,0.92050,-0.92050,0.75000,0.26429,,,0.51429,17.74194,,96.77419
NYJ,2026,50,32,1,0.02000,1.04603,-0.04603,0,0.00000,0.66946,-0.66946,1.00000,0.51429,,,0.51429,17.74194,,48.38710
PHI,2026,51,68,0,0.00000,1.06695,-1.06695,1,0.01471,1.42259,-0.42259,,,0.00000,-0.51429,0.51429,38.70968,13.15789,17.74194
PIT,2026,59,57,1,0.01695,1.23431,-0.23431,2,0.03509,1.19247,0.80753,0.00000,-0.48571,0.00000,-0.51429,0.51429,77.41935,13.15789,41.93548
SEA,2026,47,67,0,0.00000,0.98326,-0.98326,0,0.00000,1.40167,-1.40167,,,,,0.51429,17.74194,,17.74194
SF,2026,55,36,0,0.00000,1.15063,-1.15063,0,0.00000,0.75314,-0.75314,,,,,0.51429,17.74194,,17.74194
TB,2026,50,51,4,0.08000,1.04603,2.95397,0,0.00000,1.06695,-1.06695,0.00000,-0.48571,,,0.51429,17.74194,,100.00000
TEN,2026,32,50,0,0.00000,0.66946,-0.66946,1,0.02000,1.04603,-0.04603,,,0.00000,-0.51429,0.51429,48.38710,13.15789,17.74194
WAS,2026,68,51,1,0.01471,1.42259,-0.42259,0,0.00000,1.06695,-1.06695,1.00000,0.51429,,,0.51429,17.74194,,38.70968
