team,season,side,down_group,n_plays,epa_per_play,success_rate
ARI,2025,offense,early_1_2,720,-0.01604,0.41944
ARI,2025,offense,late_3_4,212,-0.07215,0.44811
ARI,2025,defense,early_1_2,736,-0.12826,0.48370
ARI,2025,defense,late_3_4,197,0.10231,0.46701
ATL,2025,offense,early_1_2,734,0.08264,0.46322
ATL,2025,offense,late_3_4,209,-0.26421,0.38756
ATL,2025,defense,early_1_2,725,-0.00250,0.43448
ATL,2025,defense,late_3_4,228,0.12393,0.44737
BAL,2025,offense,early_1_2,655,0.05272,0.45344
BAL,2025,offense,late_3_4,193,0.06617,0.46114
BAL,2025,defense,early_1_2,685,-0.05591,0.45109
BAL,2025,defense,late_3_4,216,-0.05800,0.43981
BUF,2025,offense,early_1_2,738,0.11552,0.48374
BUF,2025,offense,late_3_4,212,0.21106,0.50472
BUF,2025,defense,early_1_2,655,0.04194,0.41832
BUF,2025,defense,late_3_4,197,-0.01533,0.45685
CAR,2025,offense,early_1_2,678,-0.05295,0.43068
CAR,2025,offense,late_3_4,215,-0.12465,0.40465
CAR,2025,defense,early_1_2,706,-0.01315,0.42776
CAR,2025,defense,late_3_4,205,-0.29296,0.51220
CHI,2025,offense,early_1_2,783,0.09933,0.46616
CHI,2025,offense,late_3_4,236,0.08321,0.47881
CHI,2025,defense,early_1_2,733,-0.06945,0.47476
CHI,2025,defense,late_3_4,191,0.19633,0.40838
CIN,2025,offense,early_1_2,711,-0.04874,0.44585
CIN,2025,offense,late_3_4,203,0.17325,0.50246
CIN,2025,defense,early_1_2,711,-0.14647,0.47679
CIN,2025,defense,late_3_4,199,-0.10721,0.51759
CLE,2025,offense,early_1_2,654,-0.15229,0.32722
CLE,2025,offense,late_3_4,221,-0.23582,0.38914
CLE,2025,defense,early_1_2,676,0.03343,0.41716
CLE,2025,defense,late_3_4,216,0.20250,0.39815
DAL,2025,offense,early_1_2,770,0.11170,0.46753
DAL,2025,offense,late_3_4,208,0.20972,0.48077
DAL,2025,defense,early_1_2,722,-0.11823,0.48476
DAL,2025,defense,late_3_4,191,-0.41663,0.52356
DEN,2025,offense,early_1_2,729,0.03930,0.44033
DEN,2025,offense,late_3_4,224,0.06676,0.45089
DEN,2025,defense,early_1_2,736,0.06551,0.37500
DEN,2025,defense,late_3_4,239,0.11687,0.36402
DET,2025,offense,early_1_2,728,0.10730,0.46291
DET,2025,offense,late_3_4,215,-0.02510,0.42791
DET,2025,defense,early_1_2,694,0.01125,0.42363
DET,2025,defense,late_3_4,204,0.00483,0.42647
GB,2025,offense,early_1_2,712,0.08594,0.47191
GB,2025,offense,late_3_4,206,0.31614,0.54369
GB,2025,defense,early_1_2,722,-0.06769,0.44737
