player,team,season,rushes,rush_first_downs,rush_fd_rate,rush_fd_rate_pct,targets,receptions,rec_first_downs,rec_fd_rate,rec_fd_rate_pct,target_fd_rate
D.Allen,LA,2025,0.00000,0.00000,,,30.00000,23.00000,11.00000,0.47826,41.86047,0.36667
D.Brown,JAX,2025,5.00000,2.00000,0.40000,,33.00000,17.00000,10.00000,0.58824,66.04651,0.30303
D.Douglas,NE,2025,5.00000,2.00000,0.40000,,44.00000,30.00000,16.00000,0.53333,56.51163,0.36364
D.Goedert,PHI,2025,0.00000,0.00000,,,77.00000,56.00000,31.00000,0.55357,59.53488,0.40260
D.Henry,BAL,2025,277.00000,73.00000,0.26354,61.97183,21.00000,15.00000,4.00000,0.26667,10.23256,0.19048
D.Hopkins,BAL,2025,0.00000,0.00000,,,35.00000,19.00000,12.00000,0.63158,78.13953,0.34286
D.Kincaid,BUF,2025,0.00000,0.00000,,,48.00000,37.00000,26.00000,0.70270,88.83721,0.54167
D.Knox,BUF,2025,0.00000,0.00000,,,46.00000,32.00000,21.00000,0.65625,81.62791,0.45652
D.London,ATL,2025,0.00000,0.00000,,,108.00000,67.00000,46.00000,0.68657,83.95349,0.42593
D.Maye,NE,2025,77.00000,34.00000,0.44156,92.95775,1.00000,1.00000,0.00000,0.00000,0.69767,0.00000
D.Metcalf,PIT,2025,2.00000,1.00000,0.50000,,92.00000,53.00000,32.00000,0.60377,70.23256,0.34783
D.Montgomery,DET,2025,134.00000,35.00000,0.26119,60.56338,28.00000,24.00000,11.00000,0.45833,38.60465,0.39286
D.Mooney,ATL,2025,0.00000,0.00000,,,64.00000,29.00000,23.00000,0.79310,96.74419,0.35938
D.Moore,CHI,2025,16.00000,6.00000,0.37500,,80.00000,48.00000,31.00000,0.64583,79.06977,0.38750
D.Neal,NO,2025,55.00000,11.00000,0.20000,16.90141,16.00000,14.00000,4.00000,0.28571,11.62791,0.25000
D.Njoku,CLE,2025,0.00000,0.00000,,,44.00000,30.00000,9.00000,0.30000,13.72093,0.20455
D.Sampson,CLE,2025,56.00000,9.00000,0.16071,2.81690,31.00000,25.00000,4.00000,0.16000,3.72093,0.12903
D.Samuel,WAS,2025,16.00000,3.00000,0.18750,,89.00000,62.00000,25.00000,0.40323,31.16279,0.28090
D.Schultz,HOU,2025,0.00000,0.00000,,,102.00000,79.00000,36.00000,0.45570,38.13953,0.35294
D.Sills,ATL,2025,0.00000,0.00000,,,33.00000,17.00000,9.00000,0.52941,55.58140,0.27273
D.Singletary,NYG,2025,103.00000,23.00000,0.22330,30.98592,15.00000,14.00000,2.00000,0.14286,3.25581,0.13333
D.Slayton,NYG,2025,0.00000,0.00000,,,57.00000,33.00000,20.00000,0.60606,70.93023,0.35088
D.Smith,PHI,2025,0.00000,0.00000,,,110.00000,73.00000,42.00000,0.57534,62.79070,0.38182
D.Swift,CHI,2025,216.00000,60.00000,0.27778,70.42254,46.00000,33.00000,11.00000,0.33333,18.83721,0.23913
D.Vele,NO,2025,0.00000,0.00000,,,34.00000,24.00000,18.00000,0.75000,93.02326,0.52941
D.Washington,PIT,2025,0.00000,0.00000,,,42.00000,29.00000,15.00000,0.51724,49.30233,0.35714
D.Wicks,GB,2025,1.00000,0.00000,0.00000,,43.00000,29.00000,20.00000,0.68966,85.58140,0.46512
E.Ayomanor,TEN,2025,0.00000,0.00000,,,69.00000,31.00000,23.00000,0.74194,92.55814,0.33333
E.Egbuka,TB,2025,3.00000,0.00000,0.00000,,117.00000,60.00000,31.00000,0.51667,48.83721,0.26496
E.Engram,DEN,2025,1.00000,0.00000,0.00000,,69.00000,44.00000,17.00000,0.38636,27.44186,0.24638
E.Higgins,ARI,2025,0.00000,0.00000,,,33.00000,27.00000,14.00000,0.51852,50.23256,0.42424
E.Wilson,GB,2025,104.00000,28.00000,0.26923,64.78873,15.00000,13.00000,4.00000,0.30769,15.81395,0.26667
G.Helm,TEN,2025,0.00000,0.00000,,,41.00000,33.00000,13.00000,0.39394,29.06977,0.31707
G.Kittle,SF,2025,1.00000,0.00000,0.00000,,62.00000,53.00000,37.00000,0.69811,87.44186,0.59677
G.Pickens,DAL,2025,0.00000,0.00000,,,128.00000,88.00000,68.00000,0.77273,95.34884,0.53125
G.Wilson,NYJ,2025,0.00000,0.00000,,,45.00000,25.00000,12.00000,0.48000,42.79070,0.26667
H.Fannin,CLE,2025,6.00000,2.00000,0.33333,,88.00000,58.00000,28.00000,0.48276,43.25581,0.31818
H.Henry,NE,2025,0.00000,0.00000,,,76.00000,52.00000,38.00000,0.73077,90.69767,0.50000
I.Bond,CLE,2025,5.00000,1.00000,0.20000,,36.00000,15.00000,9.00000,0.60000,68.60465,0.25000
I.Likely,BAL,2025,0.00000,0.00000,,,32.00000,23.00000,11.00000,0.47826,41.86047,0.34375
I.Pacheco,KC,2025,105.00000,26.00000,0.24762,52.11268,25.00000,18.00000,4.00000,0.22222,6.04651,0.16000
J.Addison,MIN,2025,2.00000,2.00000,1.00000,,68.00000,35.00000,20.00000,0.57143,61.62791,0.29412
J.Allen,BUF,2025,89.00000,44.00000,0.49438,98.59155,0.00000,0.00000,0.00000,,,
J.Chase,CIN,2025,3.00000,0.00000,0.00000,,166.00000,111.00000,63.00000,0.56757,60.93023,0.37952
J.Coker,CAR,2025,0.00000,0.00000,,,44.00000,32.00000,21.00000,0.65625,81.62791,0.47727
J.Cook,BUF,2025,289.00000,66.00000,0.22837,33.80282,37.00000,30.00000,11.00000,0.36667,23.25581,0.29730
J.Croskey-Merritt,WAS,2025,151.00000,35.00000,0.23179,38.02817,11.00000,8.00000,3.00000,0.37500,25.34884,0.27273
J.Daniels,WAS,2025,51.00000,14.00000,0.27451,69.01408,0.00000,0.00000,0.00000,,,
J.Dart,NYG,2025,68.00000,30.00000,0.44118,90.84507,0.00000,0.00000,0.00000,,,
J.Dobbins,DEN,2025,137.00000,32.00000,0.23358,39.43662,13.00000,10.00000,0.00000,0.00000,0.69767,0.00000
J.Dotson,PHI,2025,0.00000,0.00000,,,31.00000,16.00000,8.00000,0.50000,46.27907,0.25806
J.Downs,IND,2025,2.00000,0.00000,0.00000,,82.00000,53.00000,31.00000,0.58491,64.65116,0.37805
J.Ferguson,DAL,2025,1.00000,0.00000,0.00000,,89.00000,71.00000,26.00000,0.36620,22.32558,0.29213
J.Fields,NYJ,2025,62.00000,22.00000,0.35484,84.50704,1.00000,0.00000,0.00000,,,0.00000
J.Gibbs,DET,2025,231.00000,52.00000,0.22511,32.39437,86.00000,70.00000,25.00000,0.35714,21.16279,0.29070
J.Herbert,LAC,2025,66.00000,31.00000,0.46970,95.77465,0.00000,0.00000,0.00000,,,
J.Higgins,HOU,2025,0.00000,0.00000,,,64.00000,38.00000,25.00000,0.65789,82.32558,0.39062
J.Hill,BAL,2025,15.00000,3.00000,0.20000,,35.00000,28.00000,8.00000,0.28571,11.62791,0.22857
J.Hurts,PHI,2025,88.00000,39.00000,0.44318,94.36620,0.00000,0.00000,0.00000,,,
J.Jacobs,GB,2025,222.00000,54.00000,0.24324,46.47887,44.00000,36.00000,8.00000,0.22222,6.04651,0.18182
J.Jefferson,MIN,2025,2.00000,0.00000,0.00000,,123.00000,76.00000,42.00000,0.55263,58.60465,0.34146
J.Jennings,SF,2025,0.00000,0.00000,,,87.00000,52.00000,34.00000,0.65385,80.46512,0.39080
J.Jeudy,CLE,2025,1.00000,1.00000,1.00000,,88.00000,44.00000,27.00000,0.61364,75.34884,0.30682
J.Johnson,WAS,2025,10.00000,4.00000,0.40000,,89.00000,70.00000,36.00000,0.51429,47.90698,0.40449
J.Mason,MIN,2025,146.00000,40.00000,0.27397,67.60563,15.00000,14.00000,1.00000,0.07143,1.86047,0.06667
J.Metchie,NYJ,2025,3.00000,0.00000,0.00000,,39.00000,25.00000,11.00000,0.44000,37.20930,0.28205
J.Meyers,JAX,2025,3.00000,1.00000,0.33333,,94.00000,66.00000,39.00000,0.59091,66.51163,0.41489
J.Nailor,MIN,2025,2.00000,1.00000,0.50000,,48.00000,26.00000,20.00000,0.76923,94.41860,0.41667
J.Palmer,BUF,2025,0.00000,0.00000,,,32.00000,20.00000,13.00000,0.65000,80.00000,0.40625
J.Smith,PIT,2025,8.00000,2.00000,0.25000,,50.00000,35.00000,10.00000,0.28571,11.62791,0.20000
J.Smith-Njigba,SEA,2025,7.00000,2.00000,0.28571,,157.00000,116.00000,76.00000,0.65517,80.93023,0.48408
J.Smith-Schuster,KC,2025,0.00000,0.00000,,,44.00000,33.00000,19.00000,0.57576,63.25581,0.43182
J.Taylor,IND,2025,315.00000,80.00000,0.25397,56.33803,53.00000,43.00000,14.00000,0.32558,17.67442,0.26415
J.Tonges,SF,2025,0.00000,0.00000,,,45.00000,33.00000,20.00000,0.60606,70.93023,0.44444
J.Waddle,MIA,2025,2.00000,1.00000,0.50000,,91.00000,57.00000,42.00000,0.73684,91.62791,0.46154
J.Warren,PIT,2025,206.00000,51.00000,0.24757,50.70423,41.00000,37.00000,12.00000,0.32432,17.20930,0.29268
J.Williams,DAL,2025,242.00000,64.00000,0.26446,63.38028,138.00000,91.00000,49.00000,0.53846,57.20930,0.35507
J.Wright,MIA,2025,50.00000,9.00000,0.18000,8.45070,6.00000,3.00000,2.00000,0.66667,83.02326,0.33333
K.Allen,LAC,2025,0.00000,0.00000,,,112.00000,75.00000,47.00000,0.62667,77.20930,0.41964
K.Bourne,SF,2025,0.00000,0.00000,,,47.00000,33.00000,25.00000,0.75758,93.48837,0.53191
K.Boutte,NE,2025,0.00000,0.00000,,,43.00000,32.00000,26.00000,0.81250,97.20930,0.60465
K.Coleman,BUF,2025,0.00000,0.00000,,,53.00000,30.00000,21.00000,0.70000,88.13953,0.39623
K.Gainwell,PIT,2025,101.00000,31.00000,0.30693,78.87324,74.00000,63.00000,19.00000,0.30159,14.41860,0.25676
K.Hunt,KC,2025,148.00000,51.00000,0.34459,83.09859,25.00000,18.00000,8.00000,0.44444,37.67442,0.32000
K.Mitchell,BAL,2025,51.00000,13.00000,0.25490,57.74648,12.00000,9.00000,2.00000,0.22222,6.04651,0.16667
K.Monangai,CHI,2025,150.00000,36.00000,0.24000,45.07042,29.00000,18.00000,7.00000,0.38889,27.90698,0.24138
K.Pitts,ATL,2025,0.00000,0.00000,,,111.00000,82.00000,50.00000,0.60976,73.02326,0.45045
K.Shakir,BUF,2025,1.00000,0.00000,0.00000,,90.00000,67.00000,25.00000,0.37313,24.65116,0.27778
K.Turpin,DAL,2025,17.00000,3.00000,0.17647,,32.00000,23.00000,14.00000,0.60870,72.55814,0.43750
K.Vidal,LAC,2025,135.00000,27.00000,0.20000,16.90141,20.00000,15.00000,6.00000,0.40000,30.23256,0.30000
K.Walker,SEA,2025,207.00000,42.00000,0.20290,19.71831,35.00000,30.00000,12.00000,0.40000,30.23256,0.34286
K.Williams,LA,2025,224.00000,63.00000,0.28125,71.83099,68.00000,44.00000,18.00000,0.40909,32.55814,0.26471
L.Burden,CHI,2025,6.00000,3.00000,0.50000,,57.00000,46.00000,27.00000,0.58696,65.58140,0.47368
L.Jackson,BAL,2025,55.00000,23.00000,0.41818,87.32394,0.00000,0.00000,0.00000,,,
L.McConkey,LAC,2025,0.00000,0.00000,,,96.00000,61.00000,32.00000,0.52459,53.02326,0.33333
L.Musgrave,GB,2025,0.00000,0.00000,,,30.00000,23.00000,11.00000,0.47826,41.86047,0.36667
M.Andrews,BAL,2025,9.00000,6.00000,0.66667,,66.00000,45.00000,22.00000,0.48889,44.65116,0.33333
M.Brown,KC,2025,0.00000,0.00000,,,70.00000,47.00000,27.00000,0.57447,62.32558,0.38571
M.Carter,ARI,2025,81.00000,16.00000,0.19753,14.08451,32.00000,24.00000,9.00000,0.37500,25.34884,0.28125
M.Evans,CAR,2025,1.00000,1.00000,1.00000,,84.00000,47.00000,30.00000,0.63830,78.60465,0.35714
M.Gesicki,CIN,2025,0.00000,0.00000,,,38.00000,24.00000,17.00000,0.70833,89.76744,0.44737
M.Golden,GB,2025,10.00000,3.00000,0.30000,,38.00000,27.00000,15.00000,0.55556,60.00000,0.39474
M.Harrison,ARI,2025,0.00000,0.00000,,,68.00000,38.00000,29.00000,0.76316,93.95349,0.42647
M.Hollins,NE,2025,0.00000,0.00000,,,61.00000,42.00000,25.00000,0.59524,67.44186,0.40984
M.Mayer,LV,2025,0.00000,0.00000,,,46.00000,33.00000,17.00000,0.51515,48.37209,0.36957
M.Mims,DEN,2025,10.00000,2.00000,0.20000,,46.00000,34.00000,13.00000,0.38235,26.97674,0.28261
M.Nabers,NYG,2025,0.00000,0.00000,,,31.00000,17.00000,11.00000,0.64706,79.53488,0.35484
M.Pittman,IND,2025,0.00000,0.00000,,,103.00000,72.00000,42.00000,0.58333,64.18605,0.40777
M.Taylor,NYJ,2025,0.00000,0.00000,,,53.00000,32.00000,14.00000,0.43750,36.27907,0.26415
M.Washington,MIA,2025,13.00000,4.00000,0.30769,,55.00000,39.00000,13.00000,0.33333,18.83721,0.23636
M.Wilson,ARI,2025,0.00000,0.00000,,,50.00000,28.00000,20.00000,0.71429,90.23256,0.40000
Mi.Wilson,ARI,2025,0.00000,0.00000,,,52.00000,36.00000,22.00000,0.61111,73.72093,0.42308
N.Chubb,HOU,2025,109.00000,20.00000,0.18349,11.26761,20.00000,13.00000,1.00000,0.07692,2.32558,0.05000
N.Collins,HOU,2025,2.00000,1.00000,0.50000,,115.00000,67.00000,46.00000,0.68657,83.95349,0.40000
N.Fant,CIN,2025,0.00000,0.00000,,,36.00000,29.00000,12.00000,0.41379,33.48837,0.33333
N.Gray,KC,2025,0.00000,0.00000,,,34.00000,19.00000,8.00000,0.42105,33.95349,0.23529
O.Gadsden,LAC,2025,0.00000,0.00000,,,64.00000,46.00000,25.00000,0.54348,58.13953,0.39062
O.Gordon,MIA,2025,58.00000,19.00000,0.32759,81.69014,7.00000,5.00000,0.00000,0.00000,0.69767,0.00000
O.Hampton,LAC,2025,119.00000,29.00000,0.24370,47.88732,34.00000,32.00000,7.00000,0.21875,5.11628,0.20588
O.Zaccheaus,CHI,2025,3.00000,1.00000,0.33333,,64.00000,37.00000,14.00000,0.37838,26.51163,0.21875
P.Bryant,DEN,2025,0.00000,0.00000,,,41.00000,27.00000,19.00000,0.70370,89.30233,0.46341
P.Freiermuth,PIT,2025,0.00000,0.00000,,,49.00000,37.00000,19.00000,0.51351,47.44186,0.38776
P.Mahomes,KC,2025,56.00000,27.00000,0.48214,97.18310,1.00000,1.00000,0.00000,0.00000,0.69767,0.00000
P.Nacua,LA,2025,8.00000,4.00000,0.50000,,161.00000,127.00000,78.00000,0.61417,75.81395,0.48447
P.Washington,JAX,2025,7.00000,1.00000,0.14286,,92.00000,56.00000,35.00000,0.62500,76.74419,0.38043
Q.Johnston,LAC,2025,2.00000,0.00000,0.00000,,78.00000,48.00000,25.00000,0.52083,52.09302,0.32051
Q.Judkins,CLE,2025,206.00000,45.00000,0.21845,29.57746,31.00000,21.00000,6.00000,0.28571,11.62791,0.19355
R.Bateman,BAL,2025,0.00000,0.00000,,,34.00000,18.00000,11.00000,0.61111,73.72093,0.32353
R.Doubs,GB,2025,0.00000,0.00000,,,85.00000,54.00000,40.00000,0.74074,92.09302,0.47059
R.Dowdle,CAR,2025,229.00000,50.00000,0.21834,28.16901,46.00000,36.00000,13.00000,0.36111,21.86047,0.28261
R.Flournoy,DAL,2025,4.00000,2.00000,0.50000,,44.00000,33.00000,23.00000,0.69697,86.97674,0.52273
R.Harvey,DEN,2025,127.00000,23.00000,0.18110,9.85915,53.00000,42.00000,15.00000,0.35714,21.16279,0.28302
R.Odunze,CHI,2025,0.00000,0.00000,,,86.00000,40.00000,34.00000,0.85000,98.60465,0.39535
R.Pearsall,SF,2025,1.00000,0.00000,0.00000,,51.00000,35.00000,27.00000,0.77143,94.88372,0.52941
R.Rice,KC,2025,5.00000,2.00000,0.40000,,73.00000,47.00000,23.00000,0.48936,45.34884,0.31507
R.Shaheed,SEA,2025,8.00000,3.00000,0.37500,,76.00000,47.00000,22.00000,0.46809,40.46512,0.28947
R.Stevenson,NE,2025,124.00000,29.00000,0.23387,40.84507,36.00000,30.00000,11.00000,0.36667,23.25581,0.30556
R.White,TB,2025,124.00000,35.00000,0.28226,73.23944,39.00000,37.00000,9.00000,0.24324,8.83721,0.23077
S.Barkley,PHI,2025,258.00000,46.00000,0.17829,7.04225,49.00000,36.00000,11.00000,0.30556,15.34884,0.22449
S.Diggs,NE,2025,0.00000,0.00000,,,100.00000,83.00000,50.00000,0.60241,69.30233,0.50000
S.LaPorta,DET,2025,0.00000,0.00000,,,41.00000,35.00000,22.00000,0.62857,77.67442,0.53659
S.Perine,CIN,2025,68.00000,30.00000,0.44118,90.84507,17.00000,14.00000,4.00000,0.28571,11.62791,0.23529
S.Shepard,TB,2025,4.00000,1.00000,0.25000,,50.00000,35.00000,17.00000,0.48571,43.72093,0.34000
S.Tucker,TB,2025,81.00000,22.00000,0.27160,66.19718,10.00000,8.00000,1.00000,0.12500,2.79070,0.10000
T.Allgeier,ATL,2025,112.00000,29.00000,0.25893,59.15493,14.00000,13.00000,3.00000,0.23077,6.97674,0.21429
T.Etienne,JAX,2025,232.00000,45.00000,0.19397,12.67606,53.00000,38.00000,14.00000,0.36842,24.18605,0.26415
T.Franklin,DEN,2025,5.00000,2.00000,0.40000,,98.00000,60.00000,28.00000,0.46667,39.53488,0.28571
T.Harris,LAC,2025,2.00000,0.00000,0.00000,,35.00000,25.00000,13.00000,0.52000,51.39535,0.37143
T.Henderson,NE,2025,164.00000,41.00000,0.25000,53.52113,41.00000,34.00000,6.00000,0.17647,4.18605,0.14634
T.Higbee,LA,2025,0.00000,0.00000,,,34.00000,24.00000,16.00000,0.66667,83.02326,0.47059
T.Higgins,CIN,2025,0.00000,0.00000,,,90.00000,55.00000,38.00000,0.69091,86.04651,0.42222
T.Hill,NO,2025,39.00000,14.00000,0.35897,,41.00000,31.00000,19.00000,0.61290,74.65116,0.46341
T.Hockenson,MIN,2025,1.00000,0.00000,0.00000,,55.00000,41.00000,18.00000,0.43902,36.74419,0.32727
T.Hunter,JAX,2025,1.00000,0.00000,0.00000,,38.00000,22.00000,9.00000,0.40909,32.55814,0.23684
T.Johnson,TB,2025,7.00000,0.00000,0.00000,,114.00000,72.00000,43.00000,0.59722,67.90698,0.37719
T.Kelce,KC,2025,1.00000,0.00000,0.00000,,107.00000,74.00000,45.00000,0.60811,72.09302,0.42056
T.Kraft,GB,2025,1.00000,0.00000,0.00000,,44.00000,32.00000,22.00000,0.68750,84.88372,0.50000
T.Lawrence,JAX,2025,71.00000,37.00000,0.52113,100.00000,0.00000,0.00000,0.00000,,,
T.Lockett,LV,2025,0.00000,0.00000,,,50.00000,28.00000,11.00000,0.39286,28.37209,0.22000
T.McBride,ARI,2025,0.00000,0.00000,,,148.00000,108.00000,56.00000,0.51852,50.23256,0.37838
T.McLaurin,WAS,2025,0.00000,0.00000,,,58.00000,36.00000,32.00000,0.88889,99.53488,0.55172
T.McMillan,CAR,2025,0.00000,0.00000,,,111.00000,62.00000,48.00000,0.77419,95.81395,0.43243
T.Pollard,TEN,2025,212.00000,35.00000,0.16509,4.22535,29.00000,21.00000,7.00000,0.33333,18.83721,0.24138
T.Spears,TEN,2025,60.00000,13.00000,0.21667,26.05634,33.00000,30.00000,7.00000,0.23333,7.44186,0.21212
T.Thornton,KC,2025,0.00000,0.00000,,,34.00000,18.00000,14.00000,0.77778,96.27907,0.41176
T.Tracy,NYG,2025,166.00000,38.00000,0.22892,36.61972,44.00000,33.00000,13.00000,0.39394,29.06977,0.29545
