team,season,n_plays_def,n_dropbacks_def,n_rushes_def,n_def_drives,int_forced,int_forced_rate_per_dropback,forced_fumbles,forced_fumble_rate_per_play,opp_fumble_recovery_share,tfl,tfl_rate_per_rush,takeaways,takeaway_rate_per_drive,defensive_tds,defensive_td_rate_per_drive,points_allowed_per_drive,int_forced_rate_per_dropback_pct,forced_fumble_rate_per_play_pct,opp_fumble_recovery_share_pct,tfl_rate_per_rush_pct,takeaway_rate_per_drive_pct,defensive_td_rate_per_drive_pct,points_allowed_per_drive_pct
ARI,2025,934,559,375,169,9,0.01610,14,0.01499,0.64286,32,0.08533,18,0.10651,3,0.01775,2.88757,38.70968,61.29032,77.41935,35.48387,41.93548,93.54839,93.54839
ATL,2025,958,575,383,172,14,0.02435,17,0.01775,0.29412,37,0.09661,21,0.12209,1,0.00581,2.33140,80.64516,80.64516,25.80645,61.29032,64.51613,38.70968,58.06452
BAL,2025,906,588,318,173,8,0.01361,10,0.01104,0.50000,29,0.09119,19,0.10983,2,0.01156,2.30058,19.35484,32.25806,54.83871,45.16129,48.38710,67.74194,51.61290
BUF,2025,857,478,379,172,13,0.02720,10,0.01167,0.50000,41,0.10818,20,0.11628,2,0.01163,2.12209,90.32258,35.48387,54.83871,83.87097,61.29032,72.58065,35.48387
CAR,2025,911,533,378,154,14,0.02627,9,0.00988,0.33333,27,0.07143,19,0.12338,2,0.01299,2.46753,87.09677,16.12903,29.03226,19.35484,74.19355,80.64516,70.96774
CHI,2025,928,524,404,177,17,0.03244,15,0.01616,0.66667,27,0.06683,33,0.18644,2,0.01130,2.34463,100.00000,70.96774,88.70968,12.90323,100.00000,61.29032,61.29032
CIN,2025,914,545,369,169,13,0.02385,11,0.01204,0.63636,16,0.04336,21,0.12426,1,0.00592,2.91124,74.19355,45.16129,74.19355,0.00000,77.41935,48.38710,96.77419
CLE,2025,893,513,380,190,9,0.01754,14,0.01568,0.21429,51,0.13421,16,0.08421,4,0.02105,1.99474,48.38710,67.74194,9.67742,100.00000,22.58065,96.77419,29.03226
DAL,2025,916,569,347,167,6,0.01054,11,0.01201,0.45455,37,0.10663,11,0.06587,1,0.00599,3.05988,12.90323,41.93548,41.93548,80.64516,6.45161,51.61290,100.00000
DEN,2025,977,635,342,188,8,0.01260,9,0.00921,0.22222,25,0.07310,13,0.06915,1,0.00532,1.65426,16.12903,3.22581,14.51613,22.58065,12.90323,25.80645,6.45161
DET,2025,903,561,342,181,12,0.02139,19,0.02104,0.26316,17,0.04971,19,0.10497,0,0.00000,2.28177,61.29032,96.77419,19.35484,6.45161,35.48387,11.29032,45.16129
GB,2025,953,536,417,155,5,0.00933,7,0.00735,0.42857,35,0.08393,13,0.08387,0,0.00000,2.32258,6.45161,0.00000,35.48387,32.25806,19.35484,11.29032,54.83871
HOU,2025,913,575,338,183,15,0.02609,15,0.01643,0.46667,31,0.09172,27,0.14754,4,0.02186,1.61202,83.87097,74.19355,45.16129,51.61290,90.32258,100.00000,3.22581
IND,2025,961,594,367,171,12,0.02020,9,0.00937,0.66667,37,0.10082,21,0.12281,1,0.00585,2.40936,58.06452,6.45161,88.70968,70.96774,69.35484,43.54839,67.74194
JAX,2025,876,587,289,181,16,0.02726,9,0.01027,0.66667,29,0.10035,29,0.16022,2,0.01105,1.85635,93.54839,22.58065,88.70968,67.74194,96.77419,58.06452,9.67742
KC,2025,907,541,366,163,9,0.01664,9,0.00992,0.22222,35,0.09563,13,0.07975,0,0.00000,2.01227,41.93548,19.35484,14.51613,54.83871,16.12903,11.29032,32.25806
