team,season,stuff_rate,stuff_rate_allowed,air_epa_per_dropback,yac_epa_per_dropback,air_yards_per_dropback,def_air_epa_allowed,def_yac_epa_allowed,def_air_yards_allowed,n_late_close,late_close_epa,late_close_success,late_close_def_epa
ARI,2025,0.21502,0.17333,0.33578,-0.15443,7.06872,-0.45768,0.21552,7.66928,78,-0.13070,0.34615,-0.19456
ATL,2025,0.16418,0.15666,0.47779,-0.35732,7.60757,-0.53116,0.40172,8.56276,122,0.11545,0.47541,0.04830
BAL,2025,0.15750,0.17296,0.48825,-0.28723,7.99733,-0.51018,0.32304,7.94140,78,0.03335,0.37179,-0.20674
BUF,2025,0.12411,0.18470,0.30266,-0.01908,7.15813,-0.44572,0.48765,7.41527,92,0.04400,0.44565,0.04253
CAR,2025,0.14512,0.13757,0.36960,-0.33374,6.61693,-0.48101,0.24259,7.55765,108,-0.02574,0.37963,-0.02051
CHI,2025,0.14115,0.14851,0.51944,-0.36653,8.57274,-0.47223,0.31300,8.33550,122,0.12677,0.50000,-0.13816
CIN,2025,0.10159,0.11382,0.37703,-0.32912,7.44444,-0.43861,0.14711,7.46512,99,-0.04716,0.49495,-0.14110
CLE,2025,0.22701,0.19737,0.20478,-0.34712,6.95445,-0.40138,0.38392,7.58371,96,-0.43106,0.31250,0.07497
DAL,2025,0.13984,0.17867,0.50833,-0.22487,7.90676,-0.51143,0.16742,7.89379,98,0.25431,0.45918,-0.36132
DEN,2025,0.18980,0.21053,0.32196,-0.19275,7.29220,-0.51983,0.44634,8.74954,149,0.03536,0.41611,0.19447
DET,2025,0.17801,0.14035,0.31382,-0.00703,6.42256,-0.62106,0.52122,9.78819,77,-0.16967,0.35065,-0.19071
GB,2025,0.16373,0.16067,0.59072,-0.21545,8.85931,-0.42877,0.21335,7.31042,101,0.32463,0.53465,-0.13038
HOU,2025,0.21705,0.19231,0.44086,-0.31225,8.11111,-0.39957,0.38328,8.07071,122,-0.05927,0.40164,0.22815
IND,2025,0.14946,0.19074,0.39507,-0.18683,7.96356,-0.46345,0.30276,7.93321,126,-0.09303,0.40476,-0.02463
JAX,2025,0.18681,0.18339,0.56597,-0.38738,8.55019,-0.45353,0.48070,7.95644,92,0.01999,0.47826,0.00605
KC,2025,0.13608,0.17760,0.38172,-0.27298,7.48195,-0.27271,0.13870,6.83404,105,-0.12140,0.38095,-0.06321
LA,2025,0.12676,0.12468,0.62281,-0.32324,9.29965,-0.44048,0.36856,7.58282,94,0.16143,0.53191,0.07963
LAC,2025,0.22222,0.22424,0.46434,-0.33098,7.93083,-0.41274,0.38319,7.98218,87,-0.03082,0.42529,-0.07259
LV,2025,0.25249,0.21038,0.20845,-0.26532,6.09693,-0.39168,0.18496,7.50333,59,-0.00114,0.50847,0.04044
MIA,2025,0.20944,0.18681,0.35471,-0.24802,6.93418,-0.38505,0.12010,7.07483,68,-0.02574,0.44118,-0.18876
MIN,2025,0.16409,0.20241,0.40659,-0.39462,7.86232,-0.29740,0.27808,6.71990,70,0.15228,0.51429,0.47175
NE,2025,0.21289,0.17404,0.74076,-0.25573,9.32836,-0.37782,0.31824,7.53273,65,0.25146,0.47692,0.06459
NO,2025,0.18106,0.17456,0.39937,-0.30762,7.66998,-0.41946,0.23537,7.89213,89,-0.04778,0.43820,0.22891
NYG,2025,0.15572,0.19143,0.52203,-0.39386,8.43074,-0.44620,0.30866,7.86083,91,-0.00180,0.41758,-0.21922
NYJ,2025,0.19722,0.18362,0.29167,-0.38859,6.75623,-0.37155,0.01356,7.25678,72,0.02663,0.44444,0.01429
PHI,2025,0.23014,0.14951,0.50613,-0.38240,8.84599,-0.48932,0.51523,8.18340,101,-0.06564,0.42574,0.10711
PIT,2025,0.16332,0.16398,0.22402,-0.08178,6.13387,-0.28552,0.13065,6.78585,89,0.03209,0.42697,-0.15725
SEA,2025,0.20356,0.20544,0.46942,-0.22021,7.92188,-0.26493,0.20454,6.32617,77,0.04464,0.48052,-0.00003
SF,2025,0.18066,0.18659,0.47002,-0.19337,7.40190,-0.32878,0.11668,7.64683,81,0.15482,0.43210,0.11481
TB,2025,0.18844,0.23718,0.44587,-0.34466,8.00592,-0.48744,0.28605,7.88201,118,-0.07568,0.43220,-0.18456
TEN,2025,0.16447,0.19558,0.31447,-0.31279,7.21495,-0.40905,0.05154,7.64069,38,-0.31767,0.34211,0.03019
WAS,2025,0.20058,0.16449,0.67670,-0.59512,8.75245,-0.49602,0.20245,7.75464,79,0.07427,0.43038,0.23249
