player,team,season,rushes,rush_first_downs,rush_fd_rate,rush_fd_rate_pct,targets,receptions,rec_first_downs,rec_fd_rate,rec_fd_rate_pct,target_fd_rate
A.Jeanty,LV,2026,17.00000,7.00000,0.41176,89.18919,5.00000,5.00000,2.00000,0.40000,47.72727,0.40000
A.Jones,MIN,2026,11.00000,3.00000,0.27273,58.10811,1.00000,0.00000,0.00000,,,0.00000
A.St. Brown,DET,2026,0.00000,0.00000,,,14.00000,10.00000,4.00000,0.40000,47.72727,0.28571
B.Corum,LA,2026,9.00000,2.00000,0.22222,37.83784,0.00000,0.00000,0.00000,,,
B.Hall,NYJ,2026,17.00000,5.00000,0.29412,62.16216,2.00000,2.00000,0.00000,0.00000,11.36364,0.00000
B.Irving,TB,2026,8.00000,3.00000,0.37500,81.08108,7.00000,7.00000,2.00000,0.28571,37.50000,0.28571
B.Tuten,JAX,2026,11.00000,4.00000,0.36364,72.97297,1.00000,1.00000,1.00000,1.00000,96.59091,1.00000
Bi.Robinson,ATL,2026,21.00000,7.00000,0.33333,70.27027,10.00000,8.00000,2.00000,0.25000,32.95455,0.20000
Br.Robinson,ATL,2026,9.00000,2.00000,0.22222,37.83784,0.00000,0.00000,0.00000,,,
C.Brown,CIN,2026,11.00000,3.00000,0.27273,58.10811,5.00000,4.00000,0.00000,0.00000,11.36364,0.00000
C.Hubbard,CAR,2026,10.00000,2.00000,0.20000,28.37838,2.00000,2.00000,1.00000,0.50000,62.50000,0.50000
C.McCaffrey,SF,2026,8.00000,2.00000,0.25000,50.00000,6.00000,4.00000,0.00000,0.00000,11.36364,0.00000
C.Olave,NO,2026,0.00000,0.00000,,,13.00000,10.00000,7.00000,0.70000,84.09091,0.53846
C.Skattebo,NYG,2026,13.00000,5.00000,0.38462,83.78378,0.00000,0.00000,0.00000,,,
D.Achane,MIA,2026,11.00000,2.00000,0.18182,22.97297,4.00000,3.00000,1.00000,0.33333,42.04545,0.25000
D.Henry,BAL,2026,15.00000,4.00000,0.26667,54.05405,1.00000,1.00000,1.00000,1.00000,96.59091,1.00000
D.Metcalf,PIT,2026,0.00000,0.00000,,,10.00000,4.00000,2.00000,0.50000,62.50000,0.20000
D.Montgomery,HOU,2026,20.00000,4.00000,0.20000,28.37838,3.00000,3.00000,1.00000,0.33333,42.04545,0.33333
D.Moore,BUF,2026,0.00000,0.00000,,,8.00000,5.00000,4.00000,0.80000,88.63636,0.50000
D.Schultz,HOU,2026,0.00000,0.00000,,,8.00000,4.00000,1.00000,0.25000,32.95455,0.12500
