team,season,side,split,n,mean,p10,p25,median,p75,p90,share_neg_epa,share_chunk_epa
LAC,2026,offense,all,45,-0.15302,-1.23052,-0.66609,-0.41947,0.71566,1.55495,0.57778,0.15556
LAC,2026,offense,dropback,29,-0.03859,-1.34468,-0.73463,-0.44063,0.74432,1.64332,0.55172,0.20690
LAC,2026,offense,rush,16,-0.36044,-0.96055,-0.48759,-0.39941,0.27956,0.68938,0.62500,0.06250
LAC,2026,defense,all,64,-0.20294,-1.37642,-0.81464,-0.06570,0.55595,0.80920,0.51562,0.06250
LAC,2026,defense,dropback,38,-0.33871,-1.75930,-1.17810,-0.32158,0.62316,0.92792,0.57895,0.10526
LAC,2026,defense,rush,26,-0.00449,-0.77063,-0.40978,0.20997,0.51981,0.57649,0.42308,0.00000
LV,2026,offense,all,51,0.19847,-0.87170,-0.51709,0.12784,0.71528,1.72546,0.49020,0.17647
LV,2026,offense,dropback,26,0.22205,-0.81098,-0.52414,-0.10002,1.16115,2.29119,0.53846,0.26923
LV,2026,offense,rush,25,0.17395,-0.87212,-0.26035,0.28948,0.68160,0.95718,0.44000,0.08000
LV,2026,defense,all,38,0.08486,-1.61369,-0.65501,0.25748,0.62423,1.80549,0.39474,0.15789
LV,2026,defense,dropback,26,-0.00193,-1.93193,-0.91586,0.25491,0.79660,1.88958,0.46154,0.15385
LV,2026,defense,rush,12,0.27291,-0.33585,-0.01873,0.27673,0.47209,0.97009,0.25000,0.16667
MIA,2026,offense,all,38,-0.08486,-1.80549,-0.62423,-0.25748,0.65501,1.61369,0.60526,0.18421
MIA,2026,offense,dropback,26,0.00193,-1.88958,-0.79660,-0.25491,0.91586,1.93193,0.53846,0.23077
MIA,2026,offense,rush,12,-0.27291,-0.97009,-0.47209,-0.27673,0.01873,0.33585,0.75000,0.08333
MIA,2026,defense,all,51,-0.19847,-1.72546,-0.71528,-0.12784,0.51709,0.87170,0.50980,0.05882
MIA,2026,defense,dropback,26,-0.22205,-2.29119,-1.16115,0.10002,0.52414,0.81098,0.46154,0.03846
MIA,2026,defense,rush,25,-0.17395,-0.95718,-0.68160,-0.28948,0.26035,0.87212,0.56000,0.08000
MIN,2026,offense,all,55,-0.04672,-1.52303,-0.76149,-0.22942,0.53365,1.61515,0.63636,0.16364
MIN,2026,offense,dropback,30,-0.02049,-1.64140,-0.87976,-0.50549,0.96247,2.37496,0.63333,0.26667
MIN,2026,offense,rush,25,-0.07821,-0.85204,-0.51705,-0.12088,0.48439,0.56265,0.64000,0.04000
MIN,2026,defense,all,56,0.16215,-1.72864,-0.66474,0.47466,0.92612,1.22249,0.37500,0.23214
MIN,2026,defense,dropback,35,0.00202,-2.23334,-1.19583,0.56934,0.99562,1.21663,0.40000,0.25714
MIN,2026,defense,rush,21,0.42903,-0.40241,-0.05855,0.26029,0.69151,1.22597,0.33333,0.19048
NE,2026,offense,all,67,-0.10963,-1.39165,-0.67149,-0.18408,0.66571,1.30703,0.58209,0.16418
NE,2026,offense,dropback,42,0.06546,-1.51911,-0.64852,0.10593,1.04441,1.56281,0.47619,0.26190
NE,2026,offense,rush,25,-0.40378,-1.23469,-0.73306,-0.45275,-0.05884,0.44680,0.76000,0.00000
NE,2026,defense,all,47,-0.06560,-1.03664,-0.78564,0.10846,0.76433,1.16975,0.40426,0.19149
NE,2026,defense,dropback,27,-0.22601,-1.35471,-0.87096,0.03428,0.91834,1.16975,0.48148,0.22222
NE,2026,defense,rush,20,0.15095,-0.82642,-0.20066,0.15058,0.46503,1.06735,0.30000,0.15000
NO,2026,offense,all,86,-0.03068,-1.38958,-0.62336,-0.28663,0.77340,2.00925,0.58140,0.22093
NO,2026,offense,dropback,63,-0.01447,-1.64474,-0.81824,-0.27231,1.06403,2.16960,0.53968,0.26984
NO,2026,offense,rush,23,-0.07506,-0.63022,-0.48443,-0.37145,0.15670,0.81387,0.69565,0.08696
NO,2026,defense,all,73,-0.00041,-1.50003,-0.63477,0.09121,0.53346,0.98030,0.45205,0.08219
NO,2026,defense,dropback,41,-0.01218,-1.54425,-0.80346,0.19872,0.62660,0.98883,0.41463,0.09756
NO,2026,defense,rush,32,0.01468,-0.83303,-0.55439,-0.04901,0.46936,0.81647,0.50000,0.06250
NYG,2026,offense,all,58,0.39683,-0.55935,-0.33342,0.33342,0.99836,1.71329,0.37931,0.25862
NYG,2026,offense,dropback,32,0.67657,-0.55324,-0.34799,0.64983,1.52409,2.01361,0.31250,0.37500
NYG,2026,offense,rush,26,0.05253,-0.55024,-0.30911,0.04053,0.50169,0.89713,0.46154,0.11538
NYG,2026,defense,all,44,-0.17723,-1.34208,-0.74447,0.05150,0.31334,0.77589,0.47727,0.06818
NYG,2026,defense,dropback,28,-0.27288,-1.53322,-0.88565,0.00205,0.34050,0.95947,0.50000,0.10714
NYG,2026,defense,rush,16,-0.00984,-0.82018,-0.28862,0.05891,0.30656,0.57325,0.43750,0.00000
NYJ,2026,offense,all,50,0.27130,-0.64260,-0.35778,0.12549,0.62619,1.47111,0.44000,0.16000
NYJ,2026,offense,dropback,25,0.37694,-0.82489,-0.38292,0.11135,0.63102,2.47987,0.48000,0.20000
NYJ,2026,offense,rush,25,0.16567,-0.47251,-0.19767,0.13963,0.55491,1.12074,0.40000,0.12000
NYJ,2026,defense,all,32,0.26412,-0.83798,-0.23118,0.37109,0.81736,1.31092,0.40625,0.15625
NYJ,2026,defense,dropback,24,0.31054,-1.08977,-0.25918,0.64993,0.84050,1.55664,0.41667,0.20833
NYJ,2026,defense,rush,8,0.12487,-0.37032,-0.08926,0.23396,0.40703,0.54548,0.37500,0.00000
PHI,2026,offense,all,51,0.07102,-1.49359,-0.82406,-0.41242,0.48638,2.72039,0.64706,0.15686
PHI,2026,offense,dropback,33,0.16582,-1.58556,-1.09684,-0.49994,0.74015,2.89821,0.60606,0.21212
PHI,2026,offense,rush,18,-0.10279,-0.83679,-0.67953,-0.28781,0.11734,0.47728,0.72222,0.05556
PHI,2026,defense,all,68,-0.05990,-1.51065,-0.65479,0.30533,0.73581,1.04743,0.42647,0.11765
PHI,2026,defense,dropback,39,-0.13899,-2.25606,-0.98832,0.50369,0.87550,1.13491,0.38462,0.15385
PHI,2026,defense,rush,29,0.04647,-0.69306,-0.22502,0.13169,0.46864,0.66399,0.48276,0.06897
PIT,2026,offense,all,59,-0.31146,-1.58531,-0.76213,-0.36993,0.25586,1.13076,0.67797,0.13559
PIT,2026,offense,dropback,43,-0.32395,-1.72562,-0.95347,-0.43691,0.50246,1.20667,0.65116,0.18605
PIT,2026,offense,rush,16,-0.27791,-0.95663,-0.49086,-0.31592,-0.02924,0.32729,0.75000,0.00000
PIT,2026,defense,all,57,0.32101,-1.18789,-0.50206,0.25037,0.77870,1.72653,0.38596,0.17544
PIT,2026,defense,dropback,26,0.60633,-1.59991,-0.48835,0.49084,1.10008,2.26407,0.30769,0.30769
PIT,2026,defense,rush,31,0.08170,-1.04338,-0.50493,0.18815,0.48277,0.80581,0.45161,0.06452
SEA,2026,offense,all,47,0.06560,-1.16975,-0.76433,-0.10846,0.78564,1.03664,0.59574,0.10638
SEA,2026,offense,dropback,27,0.22601,-1.16975,-0.91834,-0.03428,0.87096,1.35471,0.51852,0.14815
SEA,2026,offense,rush,20,-0.15095,-1.06735,-0.46503,-0.15058,0.20066,0.82642,0.70000,0.05000
SEA,2026,defense,all,67,0.10963,-1.30703,-0.66571,0.18408,0.67149,1.39165,0.41791,0.16418
SEA,2026,defense,dropback,42,-0.06546,-1.56281,-1.04441,-0.10593,0.64852,1.51911,0.52381,0.14286
SEA,2026,defense,rush,25,0.40378,-0.44680,0.05884,0.45275,0.73306,1.23469,0.24000,0.20000
SF,2026,offense,all,55,0.26242,-0.68197,-0.39270,0.19425,0.83315,1.62464,0.38182,0.23636
SF,2026,offense,dropback,34,0.29400,-1.02403,-0.47469,0.23035,1.26419,1.97796,0.38235,0.29412
SF,2026,offense,rush,21,0.21128,-0.55259,-0.10900,0.15646,0.75161,1.00508,0.38095,0.14286
SF,2026,defense,all,36,0.07922,-1.16809,-0.76203,0.07311,0.66502,1.10966,0.47222,0.11111
SF,2026,defense,dropback,16,0.11237,-1.48438,-1.04514,0.54252,0.73512,1.35473,0.37500,0.18750
SF,2026,defense,rush,20,0.05270,-0.89869,-0.63691,-0.07378,0.41679,0.94616,0.55000,0.05000
TB,2026,offense,all,50,-0.21315,-1.35937,-0.77314,-0.05212,0.83722,1.78854,0.54000,0.18000
TB,2026,offense,dropback,35,-0.33545,-2.68140,-0.90376,-0.01997,0.83899,1.84655,0.51429,0.20000
TB,2026,offense,rush,15,0.07223,-0.94928,-0.49619,-0.10828,0.64917,0.96686,0.60000,0.13333
TB,2026,defense,all,51,-0.00521,-1.32752,-0.89406,0.07172,0.56327,1.46073,0.47059,0.13725
TB,2026,defense,dropback,35,0.02807,-1.48758,-0.93269,-0.25226,0.70175,1.56650,0.51429,0.17143
TB,2026,defense,rush,16,-0.07803,-1.11056,-0.53325,0.12440,0.27166,0.69395,0.37500,0.06250
TEN,2026,offense,all,32,-0.26412,-1.31092,-0.81736,-0.37109,0.23118,0.83798,0.59375,0.09375
TEN,2026,offense,dropback,24,-0.31054,-1.55664,-0.84050,-0.64993,0.25918,1.08977,0.58333,0.12500
TEN,2026,offense,rush,8,-0.12487,-0.54548,-0.40703,-0.23396,0.08926,0.37032,0.62500,0.00000
TEN,2026,defense,all,50,-0.27130,-1.47111,-0.62619,-0.12549,0.35778,0.64260,0.56000,0.08000
TEN,2026,defense,dropback,25,-0.37694,-2.47987,-0.63102,-0.11135,0.38292,0.82489,0.52000,0.08000
TEN,2026,defense,rush,25,-0.16567,-1.12074,-0.55491,-0.13963,0.19767,0.47251,0.60000,0.08000
WAS,2026,offense,all,68,0.05990,-1.04743,-0.73581,-0.30533,0.65479,1.51065,0.57353,0.17647
WAS,2026,offense,dropback,39,0.13899,-1.13491,-0.87550,-0.50369,0.98832,2.25606,0.61538,0.25641
WAS,2026,offense,rush,29,-0.04647,-0.66399,-0.46864,-0.13169,0.22502,0.69306,0.51724,0.06897
WAS,2026,defense,all,51,-0.07102,-2.72039,-0.48638,0.41242,0.82406,1.49359,0.35294,0.21569
WAS,2026,defense,dropback,33,-0.16582,-2.89821,-0.74015,0.49994,1.09684,1.58556,0.39394,0.30303
WAS,2026,defense,rush,18,0.10279,-0.47728,-0.11734,0.28781,0.67953,0.83679,0.27778,0.05556
