team,season,side,split,n,mean,p10,p25,median,p75,p90,share_neg_epa,share_chunk_epa
ARI,2026,offense,all,64,0.20294,-0.80920,-0.55595,0.06570,0.81464,1.37642,0.48438,0.21875
ARI,2026,offense,dropback,38,0.33871,-0.92792,-0.62316,0.32158,1.17810,1.75930,0.42105,0.31579
ARI,2026,offense,rush,26,0.00449,-0.57649,-0.51981,-0.20997,0.40978,0.77063,0.57692,0.07692
ARI,2026,defense,all,45,0.15302,-1.55495,-0.71566,0.41947,0.66609,1.23052,0.42222,0.17778
ARI,2026,defense,dropback,29,0.03859,-1.64332,-0.74432,0.44063,0.73463,1.34468,0.44828,0.20690
ARI,2026,defense,rush,16,0.36044,-0.68938,-0.27956,0.39941,0.48759,0.96055,0.37500,0.12500
ATL,2026,offense,all,57,-0.32101,-1.72653,-0.77870,-0.25037,0.50206,1.18789,0.61404,0.15789
ATL,2026,offense,dropback,26,-0.60633,-2.26407,-1.10008,-0.49084,0.48835,1.59991,0.69231,0.19231
ATL,2026,offense,rush,31,-0.08170,-0.80581,-0.48277,-0.18815,0.50493,1.04338,0.54839,0.12903
ATL,2026,defense,all,59,0.31146,-1.13076,-0.25586,0.36993,0.76213,1.58531,0.32203,0.20339
ATL,2026,defense,dropback,43,0.32395,-1.20667,-0.50246,0.43691,0.95347,1.72562,0.34884,0.23256
ATL,2026,defense,rush,16,0.27791,-0.32729,0.02924,0.31592,0.49086,0.95663,0.25000,0.12500
BAL,2026,offense,all,45,0.23416,-0.96184,-0.48082,-0.15386,1.14349,2.63888,0.57778,0.26667
BAL,2026,offense,dropback,26,0.23301,-1.31341,-0.72632,-0.02494,1.16547,3.02255,0.50000,0.30769
BAL,2026,offense,rush,19,0.23573,-0.48555,-0.31772,-0.16125,0.63424,1.45478,0.68421,0.21053
BAL,2026,defense,all,43,0.29144,-1.27326,-0.54356,0.40210,0.85198,1.47875,0.37209,0.18605
BAL,2026,defense,dropback,24,0.61396,-1.21929,-0.09834,0.54812,0.89696,1.85078,0.29167,0.20833
BAL,2026,defense,rush,19,-0.11595,-1.26821,-0.79849,0.14093,0.63455,1.00864,0.47368,0.15789
BUF,2026,offense,all,52,0.22926,-0.93593,-0.57558,-0.05811,0.77822,2.11067,0.59615,0.19231
BUF,2026,offense,dropback,33,0.51259,-0.92487,-0.61363,-0.05338,1.26447,2.35475,0.54545,0.30303
BUF,2026,offense,rush,19,-0.26285,-0.87033,-0.50334,-0.12836,0.36847,0.73908,0.68421,0.00000
BUF,2026,defense,all,73,-0.06891,-1.80544,-0.85743,0.05370,0.57366,1.30757,0.46575,0.15068
BUF,2026,defense,dropback,42,-0.09740,-2.17646,-0.87513,0.00279,0.61880,1.44491,0.50000,0.19048
BUF,2026,defense,rush,31,-0.03030,-1.26841,-0.40569,0.07693,0.53135,0.92765,0.41935,0.09677
CAR,2026,offense,all,45,0.08780,-1.53713,-0.52282,-0.07731,0.80025,1.51655,0.53333,0.20000
CAR,2026,offense,dropback,31,0.13290,-1.91047,-0.74964,-0.14443,1.07537,2.24663,0.54839,0.29032
CAR,2026,offense,rush,14,-0.01206,-0.47552,-0.18884,-0.01706,0.32052,0.46657,0.50000,0.00000
CAR,2026,defense,all,54,-0.35984,-2.24206,-0.97860,-0.14962,0.54129,1.00145,0.55556,0.11111
CAR,2026,defense,dropback,32,-0.48276,-2.54048,-1.40715,-0.23039,0.55332,0.86108,0.59375,0.09375
CAR,2026,defense,rush,22,-0.18106,-1.28914,-0.63399,-0.01589,0.39205,1.07059,0.50000,0.13636
CHI,2026,offense,all,54,0.35984,-1.00145,-0.54129,0.14962,0.97860,2.24206,0.44444,0.25926
CHI,2026,offense,dropback,32,0.48276,-0.86108,-0.55332,0.23039,1.40715,2.54048,0.40625,0.31250
CHI,2026,offense,rush,22,0.18106,-1.07059,-0.39205,0.01589,0.63399,1.28914,0.50000,0.18182
CHI,2026,defense,all,45,-0.08780,-1.51655,-0.80025,0.07731,0.52282,1.53713,0.46667,0.13333
CHI,2026,defense,dropback,31,-0.13290,-2.24663,-1.07537,0.14443,0.74964,1.91047,0.45161,0.16129
CHI,2026,defense,rush,14,0.01206,-0.46657,-0.32052,0.01706,0.18884,0.47552,0.50000,0.07143
CIN,2026,offense,all,51,0.00521,-1.46073,-0.56327,-0.07172,0.89406,1.32752,0.52941,0.19608
CIN,2026,offense,dropback,35,-0.02807,-1.56650,-0.70175,0.25226,0.93269,1.48758,0.48571,0.22857
CIN,2026,offense,rush,16,0.07803,-0.69395,-0.27166,-0.12440,0.53325,1.11056,0.62500,0.12500
CIN,2026,defense,all,50,0.21315,-1.78854,-0.83722,0.05212,0.77314,1.35937,0.46000,0.20000
CIN,2026,defense,dropback,35,0.33545,-1.84655,-0.83899,0.01997,0.90376,2.68140,0.48571,0.22857
CIN,2026,defense,rush,15,-0.07223,-0.96686,-0.64917,0.10828,0.49619,0.94928,0.40000,0.13333
CLE,2026,offense,all,32,-0.49292,-1.29747,-0.79743,-0.22759,0.38022,0.79225,0.62500,0.09375
CLE,2026,offense,dropback,22,-0.64335,-1.73839,-1.06558,-0.43936,0.49314,1.02179,0.63636,0.13636
CLE,2026,offense,rush,10,-0.16197,-0.77584,-0.46308,-0.19169,0.15887,0.37006,0.60000,0.00000
CLE,2026,defense,all,49,-0.39982,-1.42222,-0.86817,-0.40403,0.45212,0.74888,0.61224,0.06122
CLE,2026,defense,dropback,24,-0.79256,-2.27643,-1.31774,-0.89991,0.53748,0.68269,0.70833,0.04167
CLE,2026,defense,rush,25,-0.02279,-0.73791,-0.51155,-0.28122,0.27013,0.75731,0.52000,0.08000
DAL,2026,offense,all,44,0.17723,-0.77589,-0.31334,-0.05150,0.74447,1.34208,0.52273,0.13636
DAL,2026,offense,dropback,28,0.27288,-0.95947,-0.34050,-0.00205,0.88565,1.53322,0.50000,0.21429
DAL,2026,offense,rush,16,0.00984,-0.57325,-0.30656,-0.05891,0.28862,0.82018,0.56250,0.00000
DAL,2026,defense,all,58,-0.39683,-1.71329,-0.99836,-0.33342,0.33342,0.55935,0.62069,0.05172
DAL,2026,defense,dropback,32,-0.67657,-2.01361,-1.52409,-0.64983,0.34799,0.55324,0.68750,0.03125
DAL,2026,defense,rush,26,-0.05253,-0.89713,-0.50169,-0.04053,0.30911,0.55024,0.53846,0.07692
DEN,2026,offense,all,37,-0.26084,-1.49151,-0.75024,-0.27966,0.34379,0.90339,0.62162,0.10811
DEN,2026,offense,dropback,26,-0.36495,-1.63248,-0.84626,-0.43887,0.41770,0.92410,0.57692,0.11538
DEN,2026,offense,rush,11,-0.01477,-0.50245,-0.39275,-0.15830,0.14920,0.79786,0.72727,0.09091
DEN,2026,defense,all,50,-0.11832,-1.89164,-0.65759,0.27884,0.53135,1.45350,0.38000,0.12000
DEN,2026,defense,dropback,28,0.10047,-2.03284,-0.48706,0.49413,0.66594,1.61315,0.35714,0.17857
DEN,2026,defense,rush,22,-0.39678,-1.52671,-0.69135,0.05018,0.48235,0.52975,0.40909,0.04545
DET,2026,offense,all,73,0.00041,-0.98030,-0.53346,-0.09121,0.63477,1.50003,0.54795,0.15068
DET,2026,offense,dropback,41,0.01218,-0.98883,-0.62660,-0.19872,0.80346,1.54425,0.58537,0.19512
DET,2026,offense,rush,32,-0.01468,-0.81647,-0.46936,0.04901,0.55439,0.83303,0.50000,0.09375
DET,2026,defense,all,86,0.03068,-2.00925,-0.77340,0.28663,0.62336,1.38958,0.41860,0.15116
DET,2026,defense,dropback,63,0.01447,-2.16960,-1.06403,0.27231,0.81824,1.64474,0.46032,0.19048
DET,2026,defense,rush,23,0.07506,-0.81387,-0.15670,0.37145,0.48443,0.63022,0.30435,0.04348
GB,2026,offense,all,56,-0.16215,-1.22249,-0.92612,-0.47466,0.66474,1.72864,0.62500,0.17857
GB,2026,offense,dropback,35,-0.00202,-1.21663,-0.99562,-0.56934,1.19583,2.23334,0.60000,0.25714
GB,2026,offense,rush,21,-0.42903,-1.22597,-0.69151,-0.26029,0.05855,0.40241,0.66667,0.04762
GB,2026,defense,all,55,0.04672,-1.61515,-0.53365,0.22942,0.76149,1.52303,0.36364,0.14545
GB,2026,defense,dropback,30,0.02049,-2.37496,-0.96247,0.50549,0.87976,1.64140,0.36667,0.23333
GB,2026,defense,rush,25,0.07821,-0.56265,-0.48439,0.12088,0.51705,0.85204,0.36000,0.04000
HOU,2026,offense,all,73,0.06891,-1.30757,-0.57366,-0.05370,0.85743,1.80544,0.53425,0.20548
HOU,2026,offense,dropback,42,0.09740,-1.44491,-0.61880,-0.00279,0.87513,2.17646,0.50000,0.23810
HOU,2026,offense,rush,31,0.03030,-0.92765,-0.53135,-0.07693,0.40569,1.26841,0.58065,0.16129
HOU,2026,defense,all,52,-0.22926,-2.11067,-0.77822,0.05811,0.57558,0.93593,0.40385,0.09615
HOU,2026,defense,dropback,33,-0.51259,-2.35475,-1.26447,0.05338,0.61363,0.92487,0.45455,0.09091
HOU,2026,defense,rush,19,0.26285,-0.73908,-0.36847,0.12836,0.50334,0.87033,0.31579,0.10526
IND,2026,offense,all,43,-0.29144,-1.47875,-0.85198,-0.40210,0.54356,1.27326,0.62791,0.16279
IND,2026,offense,dropback,24,-0.61396,-1.85078,-0.89696,-0.54812,0.09834,1.21929,0.70833,0.12500
IND,2026,offense,rush,19,0.11595,-1.00864,-0.63455,-0.14093,0.79849,1.26821,0.52632,0.21053
IND,2026,defense,all,45,-0.23416,-2.63888,-1.14349,0.15386,0.48082,0.96184,0.42222,0.08889
IND,2026,defense,dropback,26,-0.23301,-3.02255,-1.16547,0.02494,0.72632,1.31341,0.50000,0.15385
IND,2026,defense,rush,19,-0.23573,-1.45478,-0.63424,0.16125,0.31772,0.48555,0.31579,0.00000
JAX,2026,offense,all,49,0.39982,-0.74888,-0.45212,0.40403,0.86817,1.42222,0.38776,0.18367
JAX,2026,offense,dropback,24,0.79256,-0.68269,-0.53748,0.89991,1.31774,2.27643,0.29167,0.37500
JAX,2026,offense,rush,25,0.02279,-0.75731,-0.27013,0.28122,0.51155,0.73791,0.48000,0.00000
JAX,2026,defense,all,32,0.49292,-0.79225,-0.38022,0.22759,0.79743,1.29747,0.37500,0.21875
JAX,2026,defense,dropback,22,0.64335,-1.02179,-0.49314,0.43936,1.06558,1.73839,0.36364,0.31818
JAX,2026,defense,rush,10,0.16197,-0.37006,-0.15887,0.19169,0.46308,0.77584,0.40000,0.00000
KC,2026,offense,all,50,0.11832,-1.45350,-0.53135,-0.27884,0.65759,1.89164,0.62000,0.16000
KC,2026,offense,dropback,28,-0.10047,-1.61315,-0.66594,-0.49413,0.48706,2.03284,0.64286,0.17857
KC,2026,offense,rush,22,0.39678,-0.52975,-0.48235,-0.05018,0.69135,1.52671,0.59091,0.13636
KC,2026,defense,all,37,0.26084,-0.90339,-0.34379,0.27966,0.75024,1.49151,0.37838,0.16216
KC,2026,defense,dropback,26,0.36495,-0.92410,-0.41770,0.43887,0.84626,1.63248,0.42308,0.23077
KC,2026,defense,rush,11,0.01477,-0.79786,-0.14920,0.15830,0.39275,0.50245,0.27273,0.00000
LA,2026,offense,all,36,-0.07922,-1.10966,-0.66502,-0.07311,0.76203,1.16809,0.52778,0.16667
LA,2026,offense,dropback,16,-0.11237,-1.35473,-0.73512,-0.54252,1.04514,1.48438,0.62500,0.31250
LA,2026,offense,rush,20,-0.05270,-0.94616,-0.41679,0.07378,0.63691,0.89869,0.45000,0.05000
LA,2026,defense,all,55,-0.26242,-1.62464,-0.83315,-0.19425,0.39270,0.68197,0.61818,0.07273
LA,2026,defense,dropback,34,-0.29400,-1.97796,-1.26419,-0.23035,0.47469,1.02403,0.61765,0.11765
LA,2026,defense,rush,21,-0.21128,-1.00508,-0.75161,-0.15646,0.10900,0.55259,0.61905,0.00000
