player,team,season,attempts,n_cpoe,completions,comp_pct,comp_pct_pct,exp_comp_pct,cpoe,cpoe_pct,adot,adot_pct,air_yards
A.Rodgers,PIT,2026,42,37,24.00000,64.86486,38.70968,63.63038,1.23448,51.61290,10.17500,77.41935,407.00000
B.Mayfield,TB,2026,31,26,22.00000,84.61538,96.77419,71.72216,12.89323,90.32258,4.70370,6.45161,127.00000
B.Nix,DEN,2026,25,21,14.00000,66.66667,45.16129,73.15974,-6.49307,19.35484,3.61905,3.22581,76.00000
B.Purdy,SF,2026,32,32,24.00000,75.00000,79.03226,72.16317,2.83683,58.06452,4.81250,9.67742,154.00000
B.Young,CAR,2026,30,26,18.00000,69.23077,54.83871,64.41551,4.81526,70.96774,8.89286,64.51613,249.00000
C.Rush,ATL,2026,26,19,12.00000,63.15789,29.03226,73.57591,-10.41801,6.45161,3.50000,0.00000,77.00000
C.Stroud,HOU,2026,41,37,26.00000,70.27027,58.06452,67.10859,3.16168,61.29032,8.47368,51.61290,322.00000
C.Ward,TEN,2026,21,16,10.00000,62.50000,25.80645,68.33566,-5.83566,22.58065,6.73684,32.25806,128.00000
C.Wentz,MIN,2026,22,18,11.00000,61.11111,19.35484,69.51906,-8.40794,16.12903,7.94444,45.16129,143.00000
C.Williams,CHI,2026,26,21,16.00000,76.19048,83.87097,62.45157,13.73891,96.77419,12.62500,96.77419,303.00000
D.Jones,IND,2026,23,21,12.00000,57.14286,6.45161,69.80163,-12.65878,3.22581,5.63636,16.12903,124.00000
D.Lock,SEA,2026,23,22,16.00000,72.72727,67.74194,67.94786,4.77941,67.74194,6.31818,22.58065,139.00000
D.Maye,NE,2026,36,31,23.00000,74.19355,74.19355,68.22310,5.97045,77.41935,6.69697,29.03226,221.00000
D.Prescott,DAL,2026,26,22,17.00000,77.27273,87.09677,67.27049,10.00224,83.87097,8.03846,48.38710,209.00000
D.Watson,CLE,2026,20,17,11.00000,64.70588,35.48387,64.02438,0.68150,45.16129,8.70588,58.06452,148.00000
G.Smith,NYJ,2026,23,22,18.00000,81.81818,93.54839,69.82973,11.98845,87.09677,7.08696,38.70968,163.00000
J.Allen,BUF,2026,32,28,20.00000,71.42857,61.29032,63.28709,8.14149,80.64516,13.20690,100.00000,383.00000
J.Brissett,ARI,2026,37,37,27.00000,72.97297,70.96774,68.36707,4.60590,64.51613,7.64865,41.93548,283.00000
J.Burrow,CIN,2026,34,32,23.00000,71.87500,64.51613,66.64200,5.23300,74.19355,6.39394,25.80645,211.00000
J.Daniels,WAS,2026,36,29,18.00000,62.06897,22.58065,65.51427,-3.44530,32.25806,9.32353,70.96774,317.00000
J.Dart,NYG,2026,30,28,22.00000,78.57143,90.32258,65.64162,12.92981,93.54839,8.57143,54.83871,240.00000
J.Goff,DET,2026,40,39,26.00000,66.66667,45.16129,69.57635,-2.90969,35.48387,5.30769,12.90323,207.00000
J.Herbert,LAC,2026,24,22,13.00000,59.09091,9.67742,68.88663,-9.79572,9.67742,10.27273,80.64516,226.00000
J.Hurts,PHI,2026,28,22,14.00000,63.63636,32.25806,62.76842,0.86794,48.38710,9.00000,67.74194,225.00000
J.Love,GB,2026,35,30,16.00000,53.33333,3.22581,62.02748,-8.69414,12.90323,11.40625,90.32258,365.00000
K.Cousins,LV,2026,25,24,18.00000,75.00000,79.03226,72.27665,2.72335,54.83871,6.84000,35.48387,171.00000
L.Jackson,BAL,2026,23,21,14.00000,66.66667,45.16129,66.27939,0.38728,41.93548,11.04762,87.09677,232.00000
M.Stafford,LA,2026,16,15,9.00000,60.00000,14.51613,64.40500,-4.40500,29.03226,9.43750,74.19355,151.00000
M.Willis,MIA,2026,23,20,12.00000,60.00000,14.51613,64.74456,-4.74456,25.80645,12.00000,93.54839,240.00000
P.Mahomes,KC,2026,24,21,11.00000,52.38095,0.00000,71.30539,-18.92444,0.00000,6.13043,19.35484,141.00000
T.Lawrence,JAX,2026,24,21,18.00000,85.71429,100.00000,63.38892,22.32537,100.00000,10.52174,83.87097,242.00000
T.Shough,NO,2026,61,52,35.00000,67.30769,51.61290,68.51330,-1.20560,38.70968,8.76364,61.29032,482.00000
