category,metric_path,metric_title,free_full,rank,name,name_href,team,position,season_label,season_value,last_1,last_3,last_5,last_10,home,away,extra_json
advanced-players,/nfl/advanced/players/alignment/left-alignment-rate,Left Alignment Rate | NFL Advanced Stats,no,1,Ja'Kobi LaneJ. Lane,/nfl/player-pages/110650/jakobi-lane,Baltimore Ravens,WR,2026,61.5%,61.5%,61.5%,61.5%,61.5%,-,61.5%,
advanced-players,/nfl/advanced/players/alignment/left-alignment-rate,Left Alignment Rate | NFL Advanced Stats,no,2,A.J. BrownA. Brown,/nfl/player-pages/3584/aj-brown,New England Patriots,WR,2026,58.3%,58.3%,58.3%,58.3%,58.3%,-,58.3%,
advanced-players,/nfl/advanced/players/alignment/left-alignment-rate,Left Alignment Rate | NFL Advanced Stats,no,3,Tee HigginsT. Higgins,/nfl/player-pages/16731/tee-higgins,Cincinnati Bengals,WR,2026,56.7%,56.7%,56.7%,56.7%,56.7%,56.7%,-,
advanced-players,/nfl/advanced/players/alignment/left-alignment-rate,Left Alignment Rate | NFL Advanced Stats,no,4,Drake LondonD. London,/nfl/player-pages/17187/drake-london,Atlanta Falcons,WR,2026,56.0%,56.0%,56.0%,56.0%,56.0%,-,56.0%,
advanced-players,/nfl/advanced/players/alignment/left-alignment-rate,Left Alignment Rate | NFL Advanced Stats,no,5,Nico CollinsN. Collins,/nfl/player-pages/14167/nico-collins,Houston Texans,WR,2026,55.6%,55.6%,55.6%,55.6%,55.6%,55.6%,-,
advanced-players,/nfl/advanced/players/alignment/move-te-percent,Move TE Percentage | NFL Advanced Stats,no,1,Trey McBrideT. McBride,/nfl/player-pages/20178/trey-mcbride,Arizona Cardinals,TE,2026,71.1%,71.1%,71.1%,71.1%,71.1%,-,71.1%,
advanced-players,/nfl/advanced/players/alignment/move-te-percent,Move TE Percentage | NFL Advanced Stats,no,2,Colston LovelandC. Loveland,/nfl/player-pages/9105/colston-loveland,Chicago Bears,TE,2026,71.0%,71.0%,71.0%,71.0%,71.0%,-,71.0%,
advanced-players,/nfl/advanced/players/alignment/move-te-percent,Move TE Percentage | NFL Advanced Stats,no,3,Isaiah LikelyI. Likely,/nfl/player-pages/21028/isaiah-likely,New York Giants,TE,2026,67.7%,67.7%,67.7%,67.7%,67.7%,67.7%,-,
advanced-players,/nfl/advanced/players/alignment/move-te-percent,Move TE Percentage | NFL Advanced Stats,no,4,Juwan JohnsonJ. Johnson,/nfl/player-pages/14481/juwan-johnson,New Orleans Saints,TE,2026,61.3%,61.3%,61.3%,61.3%,61.3%,-,61.3%,
advanced-players,/nfl/advanced/players/alignment/move-te-percent,Move TE Percentage | NFL Advanced Stats,no,5,Tyler WarrenT. Warren,/nfl/player-pages/18261/tyler-warren,Indianapolis Colts,TE,2026,60.6%,60.6%,60.6%,60.6%,60.6%,60.6%,-,
advanced-players,/nfl/advanced/players/alignment/move-te-snaps,Move TE Snaps | NFL Advanced Stats,no,1,Juwan JohnsonJ. Johnson,/nfl/player-pages/14481/juwan-johnson,New Orleans Saints,TE,2026,45,45,45,45,45,-,45,
advanced-players,/nfl/advanced/players/alignment/move-te-snaps,Move TE Snaps | NFL Advanced Stats,no,2,Trey McBrideT. McBride,/nfl/player-pages/20178/trey-mcbride,Arizona Cardinals,TE,2026,35,35,35,35,35,-,35,
advanced-players,/nfl/advanced/players/alignment/move-te-snaps,Move TE Snaps | NFL Advanced Stats,no,3,Colston LovelandC. Loveland,/nfl/player-pages/9105/colston-loveland,Chicago Bears,TE,2026,34,34,34,34,34,-,34,
advanced-players,/nfl/advanced/players/alignment/move-te-snaps,Move TE Snaps | NFL Advanced Stats,no,4,Hunter HenryH. Henry,/nfl/player-pages/6312/hunter-henry,New England Patriots,TE,2026,30,30,30,30,30,-,30,
advanced-players,/nfl/advanced/players/alignment/move-te-snaps,Move TE Snaps | NFL Advanced Stats,no,4,Dalton SchultzD. Schultz,/nfl/player-pages/17832/dalton-schultz,Houston Texans,TE,2026,30,30,30,30,30,30,-,
advanced-players,/nfl/advanced/players/alignment/perimeter-rate,Perimeter Rate | NFL Advanced Stats,no,1,George PickensG. Pickens,/nfl/player-pages/23440/george-pickens,Dallas Cowboys,WR,2026,93.3%,93.3%,93.3%,93.3%,93.3%,-,93.3%,
advanced-players,/nfl/advanced/players/alignment/perimeter-rate,Perimeter Rate | NFL Advanced Stats,no,2,Denzel BostonD. Boston,/nfl/player-pages/110385/denzel-boston,Cleveland Browns,WR,2026,92.3%,92.3%,92.3%,92.3%,92.3%,-,92.3%,
advanced-players,/nfl/advanced/players/alignment/perimeter-rate,Perimeter Rate | NFL Advanced Stats,no,2,Tre TuckerT. Tucker,/nfl/player-pages/16994/tre-tucker,Las Vegas Raiders,WR,2026,92.3%,92.3%,92.3%,92.3%,92.3%,92.3%,-,
advanced-players,/nfl/advanced/players/alignment/perimeter-rate,Perimeter Rate | NFL Advanced Stats,no,4,Kevin Coleman Jr.K. Coleman Jr.,/nfl/player-pages/110437/kevin-coleman-jr,Miami Dolphins,WR,2026,91.7%,91.7%,91.7%,91.7%,91.7%,-,91.7%,
advanced-players,/nfl/advanced/players/alignment/perimeter-rate,Perimeter Rate | NFL Advanced Stats,no,4,Nico CollinsN. Collins,/nfl/player-pages/14167/nico-collins,Houston Texans,WR,2026,91.7%,91.7%,91.7%,91.7%,91.7%,91.7%,-,
advanced-players,/nfl/advanced/players/alignment/right-alignment-rate,Right Alignment Rate | NFL Advanced Stats,no,1,Puka NacuaP. Nacua,/nfl/player-pages/14907/puka-nacua,Los Angeles Rams,WR,2026,65.0%,65.0%,65.0%,65.0%,65.0%,65.0%,-,
advanced-players,/nfl/advanced/players/alignment/right-alignment-rate,Right Alignment Rate | NFL Advanced Stats,no,2,Rome OdunzeR. Odunze,/nfl/player-pages/8836/rome-odunze,Chicago Bears,WR,2026,57.9%,57.9%,57.9%,57.9%,57.9%,-,57.9%,
advanced-players,/nfl/advanced/players/alignment/right-alignment-rate,Right Alignment Rate | NFL Advanced Stats,no,3,Dyami BrownD. Brown,/nfl/player-pages/10849/dyami-brown,Washington Commanders,WR,2026,54.5%,54.5%,54.5%,54.5%,54.5%,-,54.5%,
advanced-players,/nfl/advanced/players/alignment/right-alignment-rate,Right Alignment Rate | NFL Advanced Stats,no,4,Xavier LegetteX. Legette,/nfl/player-pages/23813/xavier-legette,Carolina Panthers,WR,2026,54.2%,54.2%,54.2%,54.2%,54.2%,54.2%,-,
advanced-players,/nfl/advanced/players/alignment/right-alignment-rate,Right Alignment Rate | NFL Advanced Stats,no,5,Jordan AddisonJ. Addison,/nfl/player-pages/8458/jordan-addison,Minnesota Vikings,WR,2026,53.8%,53.8%,53.8%,53.8%,53.8%,53.8%,-,
advanced-players,/nfl/advanced/players/alignment/slot-rate-te-wr-rb,Slot Rate | NFL Advanced Stats,no,1,DeMario DouglasD. Douglas,/nfl/player-pages/8027/demario-douglas,New England Patriots,WR,2026,89.7%,89.7%,89.7%,89.7%,89.7%,-,89.7%,
advanced-players,/nfl/advanced/players/alignment/slot-rate-te-wr-rb,Slot Rate | NFL Advanced Stats,no,2,Jaylin NoelJ. Noel,/nfl/player-pages/10401/jaylin-noel,Houston Texans,WR,2026,85.7%,85.7%,85.7%,85.7%,85.7%,85.7%,-,
advanced-players,/nfl/advanced/players/alignment/slot-rate-te-wr-rb,Slot Rate | NFL Advanced Stats,no,3,Jayden ReedJ. Reed,/nfl/player-pages/4414/jayden-reed,Green Bay Packers,WR,2026,80.0%,80.0%,80.0%,80.0%,80.0%,-,80.0%,
advanced-players,/nfl/advanced/players/alignment/slot-rate-te-wr-rb,Slot Rate | NFL Advanced Stats,no,4,Josh DownsJ. Downs,/nfl/player-pages/366/josh-downs,Indianapolis Colts,WR,2026,78.1%,78.1%,78.1%,78.1%,78.1%,78.1%,-,
advanced-players,/nfl/advanced/players/alignment/slot-rate-te-wr-rb,Slot Rate | NFL Advanced Stats,no,5,Isaiah WilliamsI. Williams,/nfl/player-pages/7058/isaiah-williams,New York Jets,WR,2026,77.8%,77.8%,77.8%,77.8%,77.8%,-,77.8%,
advanced-players,/nfl/advanced/players/alignment/slot-snaps-te-wr-rb,Slot Snaps | NFL Advanced Stats,no,1,DeMario DouglasD. Douglas,/nfl/player-pages/8027/demario-douglas,New England Patriots,WR,2026,37,37,37,37,37,-,37,
advanced-players,/nfl/advanced/players/alignment/slot-snaps-te-wr-rb,Slot Snaps | NFL Advanced Stats,no,2,Wan'Dale RobinsonW. Robinson,/nfl/player-pages/13211/wandale-robinson,Tennessee Titans,WR,2026,33,33,33,33,33,33,-,
advanced-players,/nfl/advanced/players/alignment/slot-snaps-te-wr-rb,Slot Snaps | NFL Advanced Stats,no,2,Devaughn VeleD. Vele,/nfl/player-pages/13889/devaughn-vele,New Orleans Saints,WR,2026,33,33,33,33,33,-,33,
advanced-players,/nfl/advanced/players/alignment/slot-snaps-te-wr-rb,Slot Snaps | NFL Advanced Stats,no,4,Juwan JohnsonJ. Johnson,/nfl/player-pages/14481/juwan-johnson,New Orleans Saints,TE,2026,32,32,32,32,32,-,32,
advanced-players,/nfl/advanced/players/alignment/slot-snaps-te-wr-rb,Slot Snaps | NFL Advanced Stats,no,5,Chris OlaveC. Olave,/nfl/player-pages/4973/chris-olave,New Orleans Saints,WR,2026,30,30,30,30,30,-,30,
advanced-players,/nfl/advanced/players/cb/10-plus-yard-receptions-allowed-rate,10+ Yard Receptions Allowed Rate | NFL Advanced Stats,no,1,Jordan BattleJ. Battle,/nfl/player-pages/11184/jordan-battle,Cincinnati Bengals,SAF,2026,31.3%,31.3%,31.3%,31.3%,31.3%,31.3%,-,
advanced-players,/nfl/advanced/players/cb/10-plus-yard-receptions-allowed-rate,10+ Yard Receptions Allowed Rate | NFL Advanced Stats,no,2,Reed BlankenshipR. Blankenship,/nfl/player-pages/12293/reed-blankenship,Houston Texans,SAF,2026,22.2%,22.2%,22.2%,22.2%,22.2%,22.2%,-,
advanced-players,/nfl/advanced/players/cb/10-plus-yard-receptions-allowed-rate,10+ Yard Receptions Allowed Rate | NFL Advanced Stats,no,3,Andre CiscoA. Cisco,/nfl/player-pages/17104/andre-cisco,New York Jets,SAF,2026,20.0%,20.0%,20.0%,20.0%,20.0%,-,20.0%,
advanced-players,/nfl/advanced/players/cb/10-plus-yard-receptions-allowed-rate,10+ Yard Receptions Allowed Rate | NFL Advanced Stats,no,4,Malaki StarksM. Starks,/nfl/player-pages/17463/malaki-starks,Baltimore Ravens,SAF,2026,18.2%,18.2%,18.2%,18.2%,18.2%,-,18.2%,
advanced-players,/nfl/advanced/players/cb/10-plus-yard-receptions-allowed-rate,10+ Yard Receptions Allowed Rate | NFL Advanced Stats,no,4,Treydan StukesT. Stukes,/nfl/player-pages/110874/treydan-stukes,Las Vegas Raiders,SAF,2026,18.2%,18.2%,18.2%,18.2%,18.2%,18.2%,-,
advanced-players,/nfl/advanced/players/cb/30-plus-yard-receptions-allowed-rate,30+ Yard Receptions Allowed Rate | NFL Advanced Stats,no,1,Reed BlankenshipR. Blankenship,/nfl/player-pages/12293/reed-blankenship,Houston Texans,SAF,2026,11.1%,11.1%,11.1%,11.1%,11.1%,11.1%,-,
advanced-players,/nfl/advanced/players/cb/30-plus-yard-receptions-allowed-rate,30+ Yard Receptions Allowed Rate | NFL Advanced Stats,no,2,Craig WoodsonC. Woodson,/nfl/player-pages/8217/craig-woodson,New England Patriots,SAF,2026,8.3%,8.3%,8.3%,8.3%,8.3%,-,8.3%,
advanced-players,/nfl/advanced/players/cb/30-plus-yard-receptions-allowed-rate,30+ Yard Receptions Allowed Rate | NFL Advanced Stats,no,3,Rasul DouglasR. Douglas,/nfl/player-pages/2232/rasul-douglas,Washington Commanders,CB,2026,7.7%,7.7%,7.7%,7.7%,7.7%,-,7.7%,
advanced-players,/nfl/advanced/players/cb/30-plus-yard-receptions-allowed-rate,30+ Yard Receptions Allowed Rate | NFL Advanced Stats,no,4,Will Lee IIIW. Lee III,/nfl/player-pages/110655/will-lee-iii,Carolina Panthers,CB,2026,6.3%,6.3%,6.3%,6.3%,6.3%,6.3%,-,
advanced-players,/nfl/advanced/players/cb/30-plus-yard-receptions-allowed-rate,30+ Yard Receptions Allowed Rate | NFL Advanced Stats,no,4,Jordan BattleJ. Battle,/nfl/player-pages/11184/jordan-battle,Cincinnati Bengals,SAF,2026,6.3%,6.3%,6.3%,6.3%,6.3%,6.3%,-,
advanced-players,/nfl/advanced/players/cb/40-plus-yard-receptions-allowed-rate,40+ Yard Receptions Allowed Rate | NFL Advanced Stats,no,1,Reed BlankenshipR. Blankenship,/nfl/player-pages/12293/reed-blankenship,Houston Texans,SAF,2026,11.1%,11.1%,11.1%,11.1%,11.1%,11.1%,-,
advanced-players,/nfl/advanced/players/cb/40-plus-yard-receptions-allowed-rate,40+ Yard Receptions Allowed Rate | NFL Advanced Stats,no,2,Craig WoodsonC. Woodson,/nfl/player-pages/8217/craig-woodson,New England Patriots,SAF,2026,8.3%,8.3%,8.3%,8.3%,8.3%,-,8.3%,
advanced-players,/nfl/advanced/players/cb/40-plus-yard-receptions-allowed-rate,40+ Yard Receptions Allowed Rate | NFL Advanced Stats,no,3,Will Lee IIIW. Lee III,/nfl/player-pages/110655/will-lee-iii,Carolina Panthers,CB,2026,6.3%,6.3%,6.3%,6.3%,6.3%,6.3%,-,
advanced-players,/nfl/advanced/players/cb/40-plus-yard-receptions-allowed-rate,40+ Yard Receptions Allowed Rate | NFL Advanced Stats,no,4,Montaric BrownM. Brown,/nfl/player-pages/10597/montaric-brown,Jacksonville Jaguars,CB,2026,5.6%,5.6%,5.6%,5.6%,5.6%,5.6%,-,
advanced-players,/nfl/advanced/players/cb/40-plus-yard-receptions-allowed-rate,40+ Yard Receptions Allowed Rate | NFL Advanced Stats,no,5,Justin WalleyJ. Walley,/nfl/player-pages/16607/justin-walley,Indianapolis Colts,CB,2026,5.0%,5.0%,5.0%,5.0%,5.0%,5.0%,-,
advanced-players,/nfl/advanced/players/cb/50-plus-yard-receptions-allowed-rate,50+ Yard Receptions Allowed Rate | NFL Advanced Stats,no,1,James PierreJ. Pierre,/nfl/player-pages/18999/james-pierre,Minnesota Vikings,CB,2026,4.5%,4.5%,4.5%,4.5%,4.5%,4.5%,-,
advanced-players,/nfl/advanced/players/cb/50-plus-yard-receptions-allowed-rate,50+ Yard Receptions Allowed Rate | NFL Advanced Stats,no,2,Charvarius WardC. Ward,/nfl/player-pages/4556/charvarius-ward,Indianapolis Colts,CB,2026,4.0%,4.0%,4.0%,4.0%,4.0%,4.0%,-,
advanced-players,/nfl/advanced/players/cb/50-plus-yard-receptions-allowed-rate,50+ Yard Receptions Allowed Rate | NFL Advanced Stats,no,2,Ja'Quan McMillianJ. McMillian,/nfl/player-pages/9712/jaquan-mcmillian,Denver Broncos,CB,2026,4.0%,4.0%,4.0%,4.0%,4.0%,-,4.0%,
advanced-players,/nfl/advanced/players/cb/50-plus-yard-receptions-allowed-rate,50+ Yard Receptions Allowed Rate | NFL Advanced Stats,no,4,Mike SainristilM. Sainristil,/nfl/player-pages/4618/mike-sainristil,Washington Commanders,CB,2026,3.7%,3.7%,3.7%,3.7%,3.7%,-,3.7%,
advanced-players,/nfl/advanced/players/cb/50-plus-yard-receptions-allowed-rate,50+ Yard Receptions Allowed Rate | NFL Advanced Stats,no,5,Tyrique StevensonT. Stevenson,/nfl/player-pages/10715/tyrique-stevenson,Chicago Bears,CB,2026,2.9%,2.9%,2.9%,2.9%,2.9%,-,2.9%,
advanced-players,/nfl/advanced/players/cb/average-cushion-allowed,Average Cushion Allowed (CB) | NFL Advanced Stats,no,1,Theo JacksonT. Jackson,/nfl/player-pages/19943/theo-jackson,Minnesota Vikings,DB,2026,12.1,12.1,12.1,12.1,12.1,12.1,-,
advanced-players,/nfl/advanced/players/cb/average-cushion-allowed,Average Cushion Allowed (CB) | NFL Advanced Stats,no,2,Alohi GilmanA. Gilman,/nfl/player-pages/4132/alohi-gilman,Kansas City Chiefs,SAF,2026,10.8,10.8,10.8,10.8,10.8,10.8,-,
advanced-players,/nfl/advanced/players/cb/average-cushion-allowed,Average Cushion Allowed (CB) | NFL Advanced Stats,no,3,Andre CiscoA. Cisco,/nfl/player-pages/17104/andre-cisco,New York Jets,SAF,2026,10.1,10.1,10.1,10.1,10.1,-,10.1,
advanced-players,/nfl/advanced/players/cb/average-cushion-allowed,Average Cushion Allowed (CB) | NFL Advanced Stats,no,3,Malaki StarksM. Starks,/nfl/player-pages/17463/malaki-starks,Baltimore Ravens,SAF,2026,10.1,10.1,10.1,10.1,10.1,-,10.1,
advanced-players,/nfl/advanced/players/cb/average-cushion-allowed,Average Cushion Allowed (CB) | NFL Advanced Stats,no,5,Nick CrossN. Cross,/nfl/player-pages/11532/nick-cross,Washington Commanders,SAF,2026,9.3,9.3,9.3,9.3,9.3,-,9.3,
advanced-players,/nfl/advanced/players/cb/average-depth-of-target-allowed,Average Depth of Target Allowed | NFL Advanced Stats,no,1,Jarrian JonesJ. Jones,/nfl/player-pages/6677/jarrian-jones,Jacksonville Jaguars,CB,2026,25.5,25.5,25.5,25.5,25.5,25.5,-,
advanced-players,/nfl/advanced/players/cb/average-depth-of-target-allowed,Average Depth of Target Allowed | NFL Advanced Stats,no,1,Treydan StukesT. Stukes,/nfl/player-pages/110874/treydan-stukes,Las Vegas Raiders,SAF,2026,25.5,25.5,25.5,25.5,25.5,25.5,-,
advanced-players,/nfl/advanced/players/cb/average-depth-of-target-allowed,Average Depth of Target Allowed | NFL Advanced Stats,no,3,Sauce GardnerS. Gardner,/nfl/player-pages/10345/sauce-gardner,Indianapolis Colts,CB,2026,24.5,24.5,24.5,24.5,24.5,24.5,-,
advanced-players,/nfl/advanced/players/cb/average-depth-of-target-allowed,Average Depth of Target Allowed | NFL Advanced Stats,no,4,Mike SainristilM. Sainristil,/nfl/player-pages/4618/mike-sainristil,Washington Commanders,CB,2026,24.0,24.0,24.0,24.0,24.0,-,24.0,
advanced-players,/nfl/advanced/players/cb/average-depth-of-target-allowed,Average Depth of Target Allowed | NFL Advanced Stats,no,5,Riq WoolenR. Woolen,/nfl/player-pages/2095/riq-woolen,Philadelphia Eagles,CB,2026,22.5,22.5,22.5,22.5,22.5,22.5,-,
advanced-players,/nfl/advanced/players/cb/catch-rate-allowed,Catch Rate Allowed | NFL Advanced Stats,no,1,Nate WigginsN. Wiggins,/nfl/player-pages/323/nate-wiggins,Baltimore Ravens,CB,2026,0.0%,0.0%,0.0%,0.0%,0.0%,-,0.0%,
advanced-players,/nfl/advanced/players/cb/catch-rate-allowed,Catch Rate Allowed | NFL Advanced Stats,no,1,Riq WoolenR. Woolen,/nfl/player-pages/2095/riq-woolen,Philadelphia Eagles,CB,2026,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,-,
advanced-players,/nfl/advanced/players/cb/catch-rate-allowed,Catch Rate Allowed | NFL Advanced Stats,no,1,Carlton Davis IIIC. Davis III,/nfl/player-pages/17139/carlton-davis-iii,New England Patriots,CB,2026,0.0%,0.0%,0.0%,0.0%,0.0%,-,0.0%,
advanced-players,/nfl/advanced/players/cb/catch-rate-allowed,Catch Rate Allowed | NFL Advanced Stats,no,4,Rasul DouglasR. Douglas,/nfl/player-pages/2232/rasul-douglas,Washington Commanders,CB,2026,20.0%,20.0%,20.0%,20.0%,20.0%,-,20.0%,
advanced-players,/nfl/advanced/players/cb/catch-rate-allowed,Catch Rate Allowed | NFL Advanced Stats,no,5,Brandon StephensB. Stephens,/nfl/player-pages/138/brandon-stephens,New York Jets,CB,2026,25.0%,25.0%,25.0%,25.0%,25.0%,-,25.0%,
advanced-players,/nfl/advanced/players/cb/cover-0-rate,Cover 0 Rate | NFL Advanced Stats,no,1,Sauce GardnerS. Gardner,/nfl/player-pages/10345/sauce-gardner,Indianapolis Colts,CB,2026,12.0%,12.0%,12.0%,12.0%,12.0%,12.0%,-,
advanced-players,/nfl/advanced/players/cb/cover-0-rate,Cover 0 Rate | NFL Advanced Stats,no,1,Avonte MaddoxA. Maddox,/nfl/player-pages/12450/avonte-maddox,Detroit Lions,FS,2026,12.0%,12.0%,12.0%,12.0%,12.0%,12.0%,-,
advanced-players,/nfl/advanced/players/cb/cover-0-rate,Cover 0 Rate | NFL Advanced Stats,no,3,Quinyon MitchellQ. Mitchell,/nfl/player-pages/8503/quinyon-mitchell,Philadelphia Eagles,CB,2026,11.4%,11.4%,11.4%,11.4%,11.4%,11.4%,-,
advanced-players,/nfl/advanced/players/cb/cover-0-rate,Cover 0 Rate | NFL Advanced Stats,no,4,Riq WoolenR. Woolen,/nfl/player-pages/2095/riq-woolen,Philadelphia Eagles,CB,2026,11.1%,11.1%,11.1%,11.1%,11.1%,11.1%,-,
advanced-players,/nfl/advanced/players/cb/cover-0-rate,Cover 0 Rate | NFL Advanced Stats,no,5,Keionte ScottK. Scott,/nfl/player-pages/110837/keionte-scott,Tampa Bay Buccaneers,CB,2026,10.7%,10.7%,10.7%,10.7%,10.7%,-,10.7%,
advanced-players,/nfl/advanced/players/cb/cover-1-rate,Cover 1 Rate | NFL Advanced Stats,no,1,Cam LewisC. Lewis,/nfl/player-pages/11406/cam-lewis,Chicago Bears,CB,2026,60.0%,60.0%,60.0%,60.0%,60.0%,-,60.0%,
advanced-players,/nfl/advanced/players/cb/cover-1-rate,Cover 1 Rate | NFL Advanced Stats,no,2,Justin WalleyJ. Walley,/nfl/player-pages/16607/justin-walley,Indianapolis Colts,CB,2026,57.9%,57.9%,57.9%,57.9%,57.9%,57.9%,-,
advanced-players,/nfl/advanced/players/cb/cover-1-rate,Cover 1 Rate | NFL Advanced Stats,no,3,Riley MossR. Moss,/nfl/player-pages/21821/riley-moss,Denver Broncos,CB,2026,53.6%,53.6%,53.6%,53.6%,53.6%,-,53.6%,
advanced-players,/nfl/advanced/players/cb/cover-1-rate,Cover 1 Rate | NFL Advanced Stats,no,4,Charvarius WardC. Ward,/nfl/player-pages/4556/charvarius-ward,Indianapolis Colts,CB,2026,52.0%,52.0%,52.0%,52.0%,52.0%,52.0%,-,
advanced-players,/nfl/advanced/players/cb/cover-1-rate,Cover 1 Rate | NFL Advanced Stats,no,4,Ja'Quan McMillianJ. McMillian,/nfl/player-pages/9712/jaquan-mcmillian,Denver Broncos,CB,2026,52.0%,52.0%,52.0%,52.0%,52.0%,-,52.0%,
advanced-players,/nfl/advanced/players/cb/cover-2-rate,Cover 2 Rate | NFL Advanced Stats,no,1,Brandon CisseB. Cisse,/nfl/player-pages/110429/brandon-cisse,Green Bay Packers,CB,2026,58.3%,58.3%,58.3%,58.3%,58.3%,-,58.3%,
advanced-players,/nfl/advanced/players/cb/cover-2-rate,Cover 2 Rate | NFL Advanced Stats,no,1,Julius BrentsJ. Brents,/nfl/player-pages/22395/julius-brents,Miami Dolphins,CB,2026,58.3%,58.3%,58.3%,58.3%,58.3%,-,58.3%,
advanced-players,/nfl/advanced/players/cb/cover-2-rate,Cover 2 Rate | NFL Advanced Stats,no,3,Keisean NixonK. Nixon,/nfl/player-pages/10480/keisean-nixon,Green Bay Packers,DB,2026,55.6%,55.6%,55.6%,55.6%,55.6%,-,55.6%,
advanced-players,/nfl/advanced/players/cb/cover-2-rate,Cover 2 Rate | NFL Advanced Stats,no,4,Dee AlfordD. Alford,/nfl/player-pages/12027/dee-alford,Buffalo Bills,CB,2026,51.6%,51.6%,51.6%,51.6%,51.6%,-,51.6%,
advanced-players,/nfl/advanced/players/cb/cover-2-rate,Cover 2 Rate | NFL Advanced Stats,no,5,Christian BenfordC. Benford,/nfl/player-pages/4992/christian-benford,Buffalo Bills,CB,2026,51.2%,51.2%,51.2%,51.2%,51.2%,-,51.2%,
advanced-players,/nfl/advanced/players/cb/cover-3-rate,Cover 3 Rate | NFL Advanced Stats,no,1,Jacob ParrishJ. Parrish,/nfl/player-pages/9341/jacob-parrish,Tampa Bay Buccaneers,CB,2026,58.3%,58.3%,58.3%,58.3%,58.3%,-,58.3%,
advanced-players,/nfl/advanced/players/cb/cover-3-rate,Cover 3 Rate | NFL Advanced Stats,no,2,Keionte ScottK. Scott,/nfl/player-pages/110837/keionte-scott,Tampa Bay Buccaneers,CB,2026,53.6%,53.6%,53.6%,53.6%,53.6%,-,53.6%,
advanced-players,/nfl/advanced/players/cb/cover-3-rate,Cover 3 Rate | NFL Advanced Stats,no,3,Zyon McCollumZ. McCollum,/nfl/player-pages/15096/zyon-mccollum,Tampa Bay Buccaneers,CB,2026,47.2%,47.2%,47.2%,47.2%,47.2%,-,47.2%,
advanced-players,/nfl/advanced/players/cb/cover-3-rate,Cover 3 Rate | NFL Advanced Stats,no,4,Quincy RileyQ. Riley,/nfl/player-pages/13142/quincy-riley,New Orleans Saints,CB,2026,45.5%,45.5%,45.5%,45.5%,45.5%,-,45.5%,
advanced-players,/nfl/advanced/players/cb/cover-3-rate,Cover 3 Rate | NFL Advanced Stats,no,5,Derek Stingley Jr.D. Stingley Jr.,/nfl/player-pages/20101/derek-stingley-jr,Houston Texans,CB,2026,43.8%,43.8%,43.8%,43.8%,43.8%,43.8%,-,
advanced-players,/nfl/advanced/players/cb/cover-4-rate,Cover 4 Rate | NFL Advanced Stats,no,1,Kristian FultonK. Fulton,/nfl/player-pages/6854/kristian-fulton,Kansas City Chiefs,CB,2026,36.7%,36.7%,36.7%,36.7%,36.7%,36.7%,-,
advanced-players,/nfl/advanced/players/cb/cover-4-rate,Cover 4 Rate | NFL Advanced Stats,no,2,Nohl WilliamsN. Williams,/nfl/player-pages/9804/nohl-williams,Kansas City Chiefs,CB,2026,34.4%,34.4%,34.4%,34.4%,34.4%,34.4%,-,
advanced-players,/nfl/advanced/players/cb/cover-4-rate,Cover 4 Rate | NFL Advanced Stats,no,3,L'Jarius SneedL. Sneed,/nfl/player-pages/24112/ljarius-sneed,Kansas City Chiefs,CB,2026,33.3%,33.3%,33.3%,33.3%,33.3%,33.3%,-,
advanced-players,/nfl/advanced/players/cb/cover-4-rate,Cover 4 Rate | NFL Advanced Stats,no,4,Jaylen WatsonJ. Watson,/nfl/player-pages/7122/jaylen-watson,Los Angeles Rams,CB,2026,26.5%,26.5%,26.5%,26.5%,26.5%,26.5%,-,
advanced-players,/nfl/advanced/players/cb/cover-4-rate,Cover 4 Rate | NFL Advanced Stats,no,4,Trent McDuffieT. McDuffie,/nfl/player-pages/7790/trent-mcduffie,Los Angeles Rams,CB,2026,26.5%,26.5%,26.5%,26.5%,26.5%,26.5%,-,
advanced-players,/nfl/advanced/players/cb/cover-6-rate,Cover 6 Rate | NFL Advanced Stats,no,1,Justin ReidJ. Reid,/nfl/player-pages/14155/justin-reid,New Orleans Saints,S,2026,23.5%,23.5%,23.5%,23.5%,23.5%,-,23.5%,
advanced-players,/nfl/advanced/players/cb/cover-6-rate,Cover 6 Rate | NFL Advanced Stats,no,2,Cordale FlottC. Flott,/nfl/player-pages/2182/cordale-flott,Tennessee Titans,CB,2026,17.4%,17.4%,17.4%,17.4%,17.4%,17.4%,-,
advanced-players,/nfl/advanced/players/cb/cover-6-rate,Cover 6 Rate | NFL Advanced Stats,no,2,Jamel DeanJ. Dean,/nfl/player-pages/16839/jamel-dean,Pittsburgh Steelers,CB,2026,17.4%,17.4%,17.4%,17.4%,17.4%,17.4%,-,
advanced-players,/nfl/advanced/players/cb/cover-6-rate,Cover 6 Rate | NFL Advanced Stats,no,2,Asante Samuel Jr.A. Samuel Jr.,/nfl/player-pages/22187/asante-samuel-jr,Pittsburgh Steelers,CB,2026,17.4%,17.4%,17.4%,17.4%,17.4%,17.4%,-,
