metric,NYG,LA,NFL_avg
Total EPA,-23.6,+16.2,+0.2
EPA/Play,-0.43,+0.29,0.00
Success Rate,27%,55%,44%
Yards/Play,3.3,8.6,5.5
aDOT,10.7,10.7,8.0
CPOE,-22.2,+7.3,+2.0
EPA/DB,-0.52,+0.56,+0.08
EPA/ATT,-0.29,+0.09,-0.07
