Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame,Status
RB,Frank Gore Jr. (44248000),Frank Gore Jr.,44248000,RB/FLEX,4000,LAC@BUF 09/27/2026 01:00PM ET,BUF,0.2,
RB,Sean Tucker (44248002),Sean Tucker,44248002,RB/FLEX,4000,MIN@TB 09/27/2026 04:05PM ET,TB,0,
RB,Josh Williams (44248004),Josh Williams,44248004,RB/FLEX,4000,MIN@TB 09/27/2026 04:05PM ET,TB,0,
RB,Jordan Mason (44248006),Jordan Mason,44248006,RB/FLEX,4000,MIN@TB 09/27/2026 04:05PM ET,MIN,11.9,IR
RB,Max Bredeson (44248008),Max Bredeson,44248008,RB/FLEX,4000,MIN@TB 09/27/2026 04:05PM ET,MIN,0,
RB,Jerome Ford (44248010),Jerome Ford,44248010,RB/FLEX,4000,MIN@TB 09/27/2026 04:05PM ET,MIN,0,
RB,Rasheen Ali (44248012),Rasheen Ali,44248012,RB/FLEX,4000,BAL@DAL 09/27/2026 04:25PM ET,BAL,0,
RB,Adam Randall (44248014),Adam Randall,44248014,RB/FLEX,4000,BAL@DAL 09/27/2026 04:25PM ET,BAL,0,IR
RB,Jonathan Ward (44248016),Jonathan Ward,44248016,RB/FLEX,4000,BAL@DAL 09/27/2026 04:25PM ET,BAL,0,
RB,Tyler Goodson (44248018),Tyler Goodson,44248018,RB/FLEX,4000,BAL@DAL 09/27/2026 04:25PM ET,DAL,0,
RB,Malik Davis (44248020),Malik Davis,44248020,RB/FLEX,4000,BAL@DAL 09/27/2026 04:25PM ET,DAL,0,IR
RB,Hunter Luepke (44248022),Hunter Luepke,44248022,RB/FLEX,4000,BAL@DAL 09/27/2026 04:25PM ET,DAL,0.4,
RB,Israel Abanikanda (44248024),Israel Abanikanda,44248024,RB/FLEX,4000,BAL@DAL 09/27/2026 04:25PM ET,DAL,0,
WR,Pat Bryant (44248156),Pat Bryant,44248156,WR/FLEX,4000,LAR@DEN 09/27/2026 08:20PM ET,DEN,4.9,
WR,Cooper Kupp (44248158),Cooper Kupp,44248158,WR/FLEX,4000,SEA@WAS 09/27/2026 01:00PM ET,SEA,4.8,Q
WR,Calvin Ridley (44248160),Calvin Ridley,44248160,WR/FLEX,4000,TEN@NYG 09/27/2026 01:00PM ET,TEN,2.8,
WR,Xavier Hutchinson (44248162),Xavier Hutchinson,44248162,WR/FLEX,4000,HOU@IND 09/27/2026 01:00PM ET,HOU,6.5,
TE,Harold Fannin Jr. (44248616),Harold Fannin Jr.,44248616,TE/FLEX,4000,CAR@CLE 09/27/2026 01:00PM ET,CLE,7.3,
QB,Will Levis (44270343),Will Levis,44270343,QB,4000,NYJ@DET 09/27/2026 01:00PM ET,NYJ,0,
WR,Germie Bernard (44248164),Germie Bernard,44248164,WR/FLEX,3900,CIN@PIT 09/27/2026 01:00PM ET,PIT,3.8,
