player,yprr,yprr_rank_of_77,tprr,tprr_rank_of_77,epa_per_route,epa_per_route_rank_of_77
Marvin Harrison Jr,0.53,71,0.06,77,0.05,61
Kyle Pitts,0.35,75,0.11,68,0.18,73
